starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:24:08 2026	1776927248	0	32	32	32
Thu Apr 23 12:24:08 2026	1776927248	0	92	92	91
Thu Apr 23 12:24:08 2026	1776927248	0	94	94	93
Thu Apr 23 12:24:06 2026	1776927246	0	189	189	189
Thu Apr 23 12:24:06 2026	1776927246	6	198	204	198
Thu Apr 23 12:24:06 2026	1776927246	6	204	210	204
Thu Apr 23 12:24:06 2026	1776927246	6	205	211	205
Thu Apr 23 12:24:05 2026	1776927245	86	780	866	779
Thu Apr 23 12:24:06 2026	1776927246	0	2134	2134	2134
Thu Apr 23 12:24:06 2026	1776927246	6	2172	2178	2172
Thu Apr 23 12:24:06 2026	1776927246	6	2372	2378	2372
Thu Apr 23 12:24:06 2026	1776927246	6	2579	2584	2578
Thu Apr 23 12:24:06 2026	1776927246	6	2858	2864	2858
Thu Apr 23 12:24:06 2026	1776927246	6	2901	2906	2900
Thu Apr 23 12:24:06 2026	1776927246	0	2913	2913	2913
Thu Apr 23 12:24:06 2026	1776927246	6	3217	3223	3217
Thu Apr 23 12:24:06 2026	1776927246	0	3329	3329	3329
Thu Apr 23 12:24:06 2026	1776927246	0	3460	3460	3460
Thu Apr 23 12:24:08 2026	1776927248	0	106402	106402	106402
Thu Apr 23 12:24:08 2026	1776927248	0	118732	118732	118014
