Percentage served,Time in ms
0,236.330
1,236.330
2,236.330
3,241.660
4,241.660
5,241.660
6,241.660
7,241.660
8,282.213
9,282.213
10,282.213
11,282.213
12,282.213
13,361.232
14,361.232
15,361.232
16,361.232
17,361.232
18,391.786
19,391.786
20,391.786
21,391.786
22,391.786
23,405.918
24,405.918
25,405.918
26,405.918
27,405.918
28,475.787
29,475.787
30,475.787
31,475.787
32,475.787
33,1082.712
34,1082.712
35,1082.712
36,1082.712
37,1082.712
38,1297.973
39,1297.973
40,1297.973
41,1297.973
42,1297.973
43,1521.760
44,1521.760
45,1521.760
46,1521.760
47,1521.760
48,1837.728
49,1837.728
50,1837.728
51,1837.728
52,1837.728
53,2136.577
54,2136.577
55,2136.577
56,2136.577
57,2136.577
58,2156.418
59,2156.418
60,2156.418
61,2156.418
62,2156.418
63,2274.299
64,2274.299
65,2274.299
66,2274.299
67,2274.299
68,7404.508
69,7404.508
70,7404.508
71,7404.508
72,7404.508
73,120005.556
74,120005.556
75,120005.556
76,120005.556
77,120005.556
78,121599.528
79,121599.528
80,121599.528
81,121599.528
82,121599.528
83,121601.540
84,121601.540
85,121601.540
86,121601.540
87,121601.540
88,121602.580
89,121602.580
90,121602.580
91,121602.580
92,121602.580
93,121603.532
94,121603.532
95,121603.532
96,121603.532
97,121603.532
98,0.257
99,0.257
100,121603.532
