source_ip,requests_completed,failed_requests,rps,mean_latency_ms,p50_ms,p95_ms,p99_ms,transfer_rate_kbps
192.168.100.10,20,12,0.17,59768.940,1573,117027,117027,0.04
192.168.100.11,20,12,0.16,63901.180,7717,120676,120676,0.04
192.168.100.12,20,9,0.10,96382.443,2881,124416,124416,0.02
192.168.100.13,20,6,0.23,43389.810,2376,83569,83569,0.05
192.168.100.14,,,,,,,,
192.168.100.15,,,,,,,,
192.168.100.16,,,,,,,,
192.168.100.17,,,,,,,,
192.168.100.18,20,8,0.10,96173.738,3501,136296,136296,0.02
192.168.100.19,20,12,0.15,64824.662,1838,121604,121604,0.03
192.168.100.20,20,8,0.22,44869.237,33737,85755,85755,0.05
192.168.100.21,,,,,,,,
192.168.100.22,20,7,0.16,60950.667,2378,118732,118732,0.04
192.168.100.23,20,13,0.11,95094.891,2994,144384,144384,0.02
192.168.100.24,,,,,,,,
192.168.100.25,,,,,,,,
192.168.100.26,20,15,0.32,30893.952,1441,58918,58918,0.06
192.168.100.27,,,,,,,,
192.168.100.28,,,,,,,,
192.168.100.29,,,,,,,,
192.168.100.30,20,5,0.16,62580.137,40839,120117,120117,0.04
192.168.100.31,,,,,,,,
192.168.100.32,20,11,0.11,90513.228,99497,174579,174579,0.02
192.168.100.33,20,10,0.15,66403.696,69775,128633,128633,0.03
192.168.100.34,,,,,,,,
192.168.100.35,,,,,,,,
192.168.100.36,,,,,,,,
192.168.100.37,,,,,,,,
192.168.100.38,,,,,,,,
192.168.100.39,,,,,,,,
192.168.100.40,,,,,,,,
192.168.100.41,,,,,,,,
192.168.100.42,20,0,0.28,35301.339,508,69784,69784,0.07
192.168.100.43,,,,,,,,
192.168.100.44,,,,,,,,
192.168.100.45,,,,,,,,
192.168.100.46,,,,,,,,
192.168.100.47,,,,,,,,
192.168.100.48,,,,,,,,
192.168.100.49,,,,,,,,
192.168.100.50,,,,,,,,
192.168.100.51,,,,,,,,
192.168.100.52,20,16,0.08,121865.221,7570,227675,227675,0.01
192.168.100.53,,,,,,,,
192.168.100.54,20,8,0.09,107812.761,1738,175322,175322,0.02
192.168.100.55,20,9,0.15,64791.173,20372,120026,120026,0.03
192.168.100.56,,,,,,,,
192.168.100.57,,,,,,,,
192.168.100.58,,,,,,,,
192.168.100.59,20,8,0.11,90962.360,3120,177390,177390,0.02
192.168.100.60,,,,,,,,
192.168.100.61,,,,,,,,
192.168.100.62,,,,,,,,
192.168.100.63,,,,,,,,
192.168.100.64,20,7,0.13,76888.977,84730,148425,148425,0.03
192.168.100.65,20,8,0.16,62544.162,3507,120110,120110,0.04
192.168.100.66,,,,,,,,
192.168.100.67,20,8,0.16,63075.392,47755,121329,121329,0.04
192.168.100.68,,,,,,,,
192.168.100.69,20,0,0.52,19121.906,411,37632,37632,0.12
192.168.100.70,20,15,0.16,61331.363,33258,88201,88201,0.03
192.168.100.71,,,,,,,,
192.168.100.72,,,,,,,,
192.168.100.73,20,15,0.34,29776.986,1642,57233,57233,0.08
192.168.100.74,,,,,,,,
192.168.100.75,,,,,,,,
192.168.100.76,20,10,0.13,75595.261,81737,146762,146762,0.03
192.168.100.77,,,,,,,,
192.168.100.78,20,0,0.09,117071.516,117870,118789,118789,0.02
192.168.100.79,20,6,0.08,118139.717,114835,118787,118787,0.02
192.168.100.80,20,7,0.25,39496.753,2780,75195,75195,0.05
192.168.100.81,,,,,,,,
192.168.100.82,,,,,,,,
192.168.100.83,20,4,0.17,59508.493,30711,114275,114275,0.04
192.168.100.84,,,,,,,,
192.168.100.85,20,1,0.09,116816.498,114844,118787,118787,0.02
192.168.100.86,,,,,,,,
192.168.100.87,20,0,0.29,34531.055,365,68246,68246,0.07
192.168.100.88,,,,,,,,
192.168.100.89,20,0,0.18,57063.555,3172,110743,110743,0.04
192.168.100.90,,,,,,,,
192.168.100.91,,,,,,,,
192.168.100.92,,,,,,,,
192.168.100.93,,,,,,,,
192.168.100.94,,,,,,,,
192.168.100.95,20,5,0.15,66369.980,69374,128235,128235,0.03
192.168.100.96,20,1,0.37,27364.653,510,49509,49509,0.09
192.168.100.97,,,,,,,,
192.168.100.98,,,,,,,,
192.168.100.99,20,19,0.08,117936.281,113922,118790,118790,0.02
192.168.100.100,20,1,0.09,116964.390,117886,118789,118789,0.02
192.168.100.101,20,11,0.11,91226.314,100076,176735,176735,0.02
192.168.100.102,,,,,,,,
192.168.100.103,,,,,,,,
192.168.100.104,20,1,0.09,116825.529,114863,118788,118788,0.02
192.168.100.105,20,0,0.33,30434.375,515,60053,60053,0.08
192.168.100.106,,,,,,,,
192.168.100.107,,,,,,,,
192.168.100.108,,,,,,,,
192.168.100.109,20,12,0.16,62086.254,2966,120069,120069,0.04
