Percentage served,Time in ms
0,65.300
1,307.328
2,410.398
3,811.406
4,1020.868
5,1323.654
6,1798.347
7,3734.361
8,4501.560
9,4703.891
10,4825.052
11,5003.000
12,5207.751
13,5332.170
14,5514.583
15,5524.602
16,5560.856
17,5773.996
18,5905.542
19,6364.138
20,7159.888
21,7438.241
22,7810.827
23,8143.295
24,8254.789
25,8296.541
26,8370.964
27,8384.475
28,8401.813
29,8425.944
30,8592.157
31,9046.153
32,9385.786
33,9843.076
34,10169.641
35,10560.827
36,10674.209
37,10932.395
38,10970.791
39,11041.629
40,11240.934
41,11345.075
42,11411.815
43,11540.165
44,11684.530
45,11788.311
46,11879.231
47,11984.001
48,12092.536
49,12172.178
50,12342.561
51,12469.029
52,12573.488
53,12635.569
54,12755.734
55,12891.231
56,12978.444
57,13018.449
58,13081.421
59,13215.539
60,13341.311
61,13463.545
62,13539.202
63,13649.187
64,13702.944
65,13748.010
66,13834.107
67,13875.286
68,13927.966
69,14006.445
70,14090.667
71,14162.590
72,14227.781
73,14273.146
74,14373.941
75,14518.512
76,14670.107
77,14843.505
78,14930.737
79,15053.786
80,15212.451
81,15347.789
82,15416.670
83,15612.263
84,15693.648
85,15755.366
86,15994.372
87,16139.371
88,16237.073
89,16295.225
90,16482.422
91,16765.363
92,17075.154
93,17314.000
94,17683.054
95,17854.204
96,18082.030
97,18234.327
98,18624.055
99,19049.038
100,19655.584
