starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:56:06 2026	1776929166	0	65	65	65
Thu Apr 23 12:56:06 2026	1776929166	0	65	65	65
Thu Apr 23 12:56:06 2026	1776929166	0	66	66	65
Thu Apr 23 12:56:06 2026	1776929166	0	77	77	77
Thu Apr 23 12:56:06 2026	1776929166	0	79	79	79
Thu Apr 23 12:56:06 2026	1776929166	0	82	82	82
Thu Apr 23 12:56:06 2026	1776929166	0	83	83	83
Thu Apr 23 12:56:06 2026	1776929166	0	103	103	103
Thu Apr 23 12:56:06 2026	1776929166	0	125	125	125
Thu Apr 23 12:56:05 2026	1776929165	5	140	145	102
Thu Apr 23 12:56:05 2026	1776929165	32	274	306	274
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	33	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	32	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	33	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	33	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	32	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	33	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	33	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	33	274	307	274
Thu Apr 23 12:56:05 2026	1776929165	32	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	32	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	33	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	32	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	32	275	307	275
Thu Apr 23 12:56:05 2026	1776929165	32	275	307	275
Thu Apr 23 12:56:06 2026	1776929166	0	339	339	339
Thu Apr 23 12:56:05 2026	1776929165	33	339	372	339
Thu Apr 23 12:56:05 2026	1776929165	33	339	372	339
