starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:59:28 2026	1776929368	0	19	19	19
Thu Apr 23 12:59:28 2026	1776929368	0	20	20	19
Thu Apr 23 12:59:28 2026	1776929368	0	22	22	22
Thu Apr 23 12:59:27 2026	1776929367	6	94	100	94
Thu Apr 23 12:59:27 2026	1776929367	5	96	101	96
Thu Apr 23 12:59:27 2026	1776929367	6	95	101	95
Thu Apr 23 12:59:27 2026	1776929367	6	95	101	95
Thu Apr 23 12:59:27 2026	1776929367	0	103	103	103
Thu Apr 23 12:59:27 2026	1776929367	6	207	213	207
Thu Apr 23 12:59:27 2026	1776929367	0	605	605	605
Thu Apr 23 12:59:27 2026	1776929367	0	614	614	614
Thu Apr 23 12:59:27 2026	1776929367	0	675	675	675
Thu Apr 23 12:59:27 2026	1776929367	5	671	676	671
Thu Apr 23 12:59:27 2026	1776929367	5	671	676	671
Thu Apr 23 12:59:27 2026	1776929367	0	717	717	717
Thu Apr 23 12:59:27 2026	1776929367	0	717	717	717
Thu Apr 23 12:59:27 2026	1776929367	0	718	718	718
Thu Apr 23 12:59:27 2026	1776929367	6	812	818	812
Thu Apr 23 12:59:27 2026	1776929367	3	815	819	815
Thu Apr 23 12:58:04 2026	1776929284	6	83474	83480	83472
