Percentage served,Time in ms
0,11.808
1,11.808
2,11.808
3,23.223
4,23.223
5,23.223
6,23.223
7,23.223
8,23.279
9,23.279
10,23.279
11,23.279
12,23.279
13,23.732
14,23.732
15,23.732
16,23.732
17,23.732
18,28.601
19,28.601
20,28.601
21,28.601
22,28.601
23,185.301
24,185.301
25,185.301
26,185.301
27,185.301
28,187.663
29,187.663
30,187.663
31,187.663
32,187.663
33,188.277
34,188.277
35,188.277
36,188.277
37,188.277
38,401.559
39,401.559
40,401.559
41,401.559
42,401.559
43,402.104
44,402.104
45,402.104
46,402.104
47,402.104
48,402.133
49,402.133
50,402.133
51,402.133
52,402.133
53,413.281
54,413.281
55,413.281
56,413.281
57,413.281
58,1527.591
59,1527.591
60,1527.591
61,1527.591
62,1527.591
63,2808.152
64,2808.152
65,2808.152
66,2808.152
67,2808.152
68,2918.352
69,2918.352
70,2918.352
71,2918.352
72,2918.352
73,3035.370
74,3035.370
75,3035.370
76,3035.370
77,3035.370
78,3343.086
79,3343.086
80,3343.086
81,3343.086
82,3343.086
83,3403.630
84,3403.630
85,3403.630
86,3403.630
87,3403.630
88,3437.855
89,3437.855
90,3437.855
91,3437.855
92,3437.855
93,116195.075
94,116195.075
95,116195.075
96,116195.075
97,116195.075
98,0.257
99,0.257
100,116195.075
