starttime,seconds,ctime,dtime,ttime,wait
Thu Apr 23 11:34:07 2026,1776924247,0,3,3,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,3,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,3,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,2,1,4,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,4,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,2,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,2,3,5,0
Thu Apr 23 11:34:07 2026,1776924247,3,2,5,0
Thu Apr 23 11:34:07 2026,1776924247,2,3,5,0
