Percentage served,Time in ms
0,3.584
1,3.605
2,3.633
3,3.704
4,3.725
5,3.811
6,3.825
7,3.908
8,3.968
9,4.009
10,4.031
11,4.041
12,4.050
13,4.058
14,4.067
15,4.086
16,4.089
17,4.106
18,4.138
19,4.159
20,4.170
21,4.182
22,4.203
23,4.219
24,4.220
25,4.221
26,4.224
27,4.226
28,4.287
29,4.287
30,4.296
31,4.308
32,4.324
33,4.327
34,4.337
35,4.358
36,4.361
37,4.375
38,4.389
39,4.420
40,4.434
41,4.475
42,4.494
43,4.516
44,4.530
45,4.542
46,4.580
47,4.586
48,4.612
49,4.632
50,4.673
51,4.679
52,4.688
53,4.706
54,4.769
55,4.778
56,4.796
57,4.835
58,4.914
59,4.971
60,4.977
61,5.007
62,5.080
63,5.091
64,5.109
65,5.180
66,5.241
67,5.290
68,5.292
69,5.317
70,5.377
71,5.426
72,5.443
73,5.464
74,5.525
75,5.632
76,5.636
77,5.662
78,5.737
79,5.865
80,5.868
81,5.873
82,5.941
83,6.003
84,6.122
85,6.381
86,6.617
87,6.710
88,6.759
89,6.852
90,6.879
91,7.090
92,7.580
93,8.295
94,8.746
95,9.146
96,13.913
97,87.861
98,238.937
99,991.430
100,991.430
