starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	3	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	3	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	3	2	4	0
Thu Apr 23 11:37:07 2026	1776924427	2	3	5	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	5	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	2	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	3	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	3	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	3	2	5	0
Thu Apr 23 11:37:08 2026	1776924428	2	2	5	0
Thu Apr 23 11:37:08 2026	1776924428	3	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	3	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	3	2	5	0
Thu Apr 23 11:37:08 2026	1776924428	3	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	3	2	5	0
Thu Apr 23 11:37:08 2026	1776924428	3	2	5	0
Thu Apr 23 11:37:08 2026	1776924428	3	2	5	0
Thu Apr 23 11:37:08 2026	1776924428	2	3	5	0
Thu Apr 23 11:37:08 2026	1776924428	2	3	5	0
Thu Apr 23 11:37:07 2026	1776924427	3	2	5	0
Thu Apr 23 11:37:08 2026	1776924428	3	2	5	0
Thu Apr 23 11:37:07 2026	1776924427	3	3	5	0
Thu Apr 23 11:37:08 2026	1776924428	2	3	5	0
Thu Apr 23 11:37:08 2026	1776924428	2	3	5	0
Thu Apr 23 11:37:08 2026	1776924428	2	3	5	0
Thu Apr 23 11:37:07 2026	1776924427	2	3	5	0
Thu Apr 23 11:37:07 2026	1776924427	2	3	5	0
Thu Apr 23 11:37:08 2026	1776924428	2	3	5	0
Thu Apr 23 11:37:07 2026	1776924427	3	2	5	0
Thu Apr 23 11:37:08 2026	1776924428	3	3	5	0
Thu Apr 23 11:37:08 2026	1776924428	2	3	6	0
Thu Apr 23 11:37:07 2026	1776924427	2	3	6	0
Thu Apr 23 11:37:07 2026	1776924427	3	3	6	0
Thu Apr 23 11:37:07 2026	1776924427	4	2	6	0
Thu Apr 23 11:37:07 2026	1776924427	4	2	6	0
Thu Apr 23 11:37:07 2026	1776924427	3	3	6	0
Thu Apr 23 11:37:08 2026	1776924428	4	2	6	0
Thu Apr 23 11:37:08 2026	1776924428	3	3	6	0
Thu Apr 23 11:37:07 2026	1776924427	3	3	6	0
Thu Apr 23 11:37:08 2026	1776924428	3	3	6	0
Thu Apr 23 11:37:07 2026	1776924427	4	2	6	0
Thu Apr 23 11:37:07 2026	1776924427	3	3	6	0
Thu Apr 23 11:37:08 2026	1776924428	4	3	7	0
Thu Apr 23 11:37:07 2026	1776924427	4	2	7	0
Thu Apr 23 11:37:08 2026	1776924428	4	3	7	0
Thu Apr 23 11:37:08 2026	1776924428	3	4	7	0
Thu Apr 23 11:37:08 2026	1776924428	2	5	7	0
Thu Apr 23 11:37:08 2026	1776924428	3	4	7	0
Thu Apr 23 11:37:08 2026	1776924428	4	4	8	0
Thu Apr 23 11:37:08 2026	1776924428	3	6	8	0
Thu Apr 23 11:37:08 2026	1776924428	3	6	9	0
Thu Apr 23 11:37:08 2026	1776924428	5	4	9	0
Thu Apr 23 11:37:08 2026	1776924428	3	11	14	0
Thu Apr 23 11:37:07 2026	1776924427	84	4	88	0
Thu Apr 23 11:37:07 2026	1776924427	3	236	239	0
Thu Apr 23 11:37:06 2026	1776924426	2	989	991	0
