Percentage served,Time in ms
0,3.569
1,3.620
2,3.734
3,3.758
4,3.790
5,3.837
6,3.875
7,3.922
8,3.960
9,3.960
10,3.965
11,4.006
12,4.006
13,4.027
14,4.032
15,4.081
16,4.084
17,4.110
18,4.155
19,4.175
20,4.180
21,4.247
22,4.249
23,4.268
24,4.286
25,4.290
26,4.307
27,4.395
28,4.403
29,4.420
30,4.485
31,4.486
32,4.505
33,4.525
34,4.604
35,4.607
36,4.616
37,4.622
38,4.649
39,4.682
40,4.686
41,4.704
42,4.733
43,4.827
44,4.828
45,4.834
46,4.869
47,4.912
48,4.920
49,4.925
50,4.926
51,4.941
52,4.968
53,4.971
54,5.003
55,5.054
56,5.062
57,5.065
58,5.130
59,5.236
60,5.253
61,5.311
62,5.337
63,5.390
64,5.397
65,5.798
66,5.842
67,5.864
68,6.134
69,6.210
70,6.261
71,6.431
72,6.549
73,6.907
74,6.966
75,7.160
76,7.605
77,7.706
78,7.771
79,10.624
80,19.189
81,32.228
82,96.663
83,100.805
84,101.507
85,102.370
86,102.430
87,102.499
88,102.812
89,102.885
90,131.455
91,179.920
92,203.316
93,204.818
94,306.827
95,307.290
96,308.090
97,921.640
98,15462.287
99,45530.794
100,45530.794
