starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	0	4	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	4	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	2	3	5	0
Thu Apr 23 11:40:10 2026	1776924610	3	3	6	0
Thu Apr 23 11:40:10 2026	1776924610	3	2	6	0
Thu Apr 23 11:40:10 2026	1776924610	3	3	6	0
Thu Apr 23 11:40:10 2026	1776924610	4	3	6	0
Thu Apr 23 11:40:10 2026	1776924610	3	3	6	0
Thu Apr 23 11:40:10 2026	1776924610	3	3	6	0
Thu Apr 23 11:40:10 2026	1776924610	4	3	6	0
Thu Apr 23 11:40:10 2026	1776924610	4	3	7	0
