starttime,seconds,ctime,dtime,ttime,wait
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:50 2026,1776930410,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:16:50 2026,1776930410,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:16:55 2026,1776930415,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:50 2026,1776930410,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:55 2026,1776930415,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,4,0
Thu Apr 23 13:16:55 2026,1776930415,2,2,5,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,5,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,5,0
Thu Apr 23 13:16:50 2026,1776930410,2,3,5,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,5,0
Thu Apr 23 13:17:00 2026,1776930420,2,3,5,0
Thu Apr 23 13:16:59 2026,1776930419,3,2,5,0
Thu Apr 23 13:17:00 2026,1776930420,3,2,5,0
Thu Apr 23 13:17:00 2026,1776930420,2,3,5,0
Thu Apr 23 13:16:59 2026,1776930419,2,2,5,0
Thu Apr 23 13:17:00 2026,1776930420,2,2,5,0
Thu Apr 23 13:17:00 2026,1776930420,2,3,5,0
Thu Apr 23 13:17:00 2026,1776930420,3,2,5,0
Thu Apr 23 13:17:00 2026,1776930420,2,3,5,0
Thu Apr 23 13:16:50 2026,1776930410,3,2,5,0
Thu Apr 23 13:16:59 2026,1776930419,3,2,5,0
Thu Apr 23 13:16:59 2026,1776930419,3,3,5,0
Thu Apr 23 13:17:00 2026,1776930420,3,3,6,0
Thu Apr 23 13:17:00 2026,1776930420,3,3,6,0
Thu Apr 23 13:17:00 2026,1776930420,3,3,6,0
Thu Apr 23 13:17:00 2026,1776930420,2,4,6,0
Thu Apr 23 13:16:55 2026,1776930415,3,4,7,0
Thu Apr 23 13:16:55 2026,1776930415,4,3,7,0
Thu Apr 23 13:17:00 2026,1776930420,5,3,7,0
Thu Apr 23 13:16:55 2026,1776930415,4,4,8,0
Thu Apr 23 13:16:55 2026,1776930415,5,4,9,0
Thu Apr 23 13:16:55 2026,1776930415,5,4,9,0
Thu Apr 23 13:16:55 2026,1776930415,11,2,13,0
Thu Apr 23 13:16:50 2026,1776930410,18,9,28,0
Thu Apr 23 13:16:04 2026,1776930364,0,102,102,102
Thu Apr 23 13:17:00 2026,1776930420,102,3,106,0
Thu Apr 23 13:16:55 2026,1776930415,22,111,133,0
Thu Apr 23 13:16:56 2026,1776930416,103,101,204,0
Thu Apr 23 13:16:04 2026,1776930364,0,204,204,203
Thu Apr 23 13:16:03 2026,1776930363,0,205,205,204
Thu Apr 23 13:16:49 2026,1776930409,0,205,205,0
Thu Apr 23 13:16:04 2026,1776930364,0,205,205,204
Thu Apr 23 13:16:55 2026,1776930415,205,4,208,0
Thu Apr 23 13:16:50 2026,1776930410,65,143,209,0
Thu Apr 23 13:16:05 2026,1776930365,0,210,210,208
Thu Apr 23 13:16:59 2026,1776930419,45,168,213,0
Thu Apr 23 13:16:54 2026,1776930414,103,203,306,0
Thu Apr 23 13:16:59 2026,1776930419,206,101,308,0
Thu Apr 23 13:16:50 2026,1776930410,149,204,353,0
Thu Apr 23 13:16:03 2026,1776930363,183,205,389,205
Thu Apr 23 13:16:53 2026,1776930413,204,203,408,0
Thu Apr 23 13:16:55 2026,1776930415,205,203,408,0
Thu Apr 23 13:16:58 2026,1776930418,204,204,408,0
Thu Apr 23 13:16:54 2026,1776930414,205,203,408,0
Thu Apr 23 13:16:57 2026,1776930417,204,204,408,0
Thu Apr 23 13:16:58 2026,1776930418,204,204,408,0
Thu Apr 23 13:16:51 2026,1776930411,204,204,408,0
Thu Apr 23 13:16:57 2026,1776930417,203,205,408,0
Thu Apr 23 13:16:56 2026,1776930416,205,203,409,0
Thu Apr 23 13:16:56 2026,1776930416,204,205,409,0
Thu Apr 23 13:16:59 2026,1776930419,205,204,409,0
Thu Apr 23 13:16:54 2026,1776930414,204,205,409,0
Thu Apr 23 13:16:52 2026,1776930412,205,204,409,0
Thu Apr 23 13:16:51 2026,1776930411,204,205,409,0
Thu Apr 23 13:16:49 2026,1776930409,205,204,409,0
Thu Apr 23 13:16:50 2026,1776930410,204,205,409,0
Thu Apr 23 13:16:52 2026,1776930412,204,205,409,0
Thu Apr 23 13:16:51 2026,1776930411,204,205,409,0
Thu Apr 23 13:16:57 2026,1776930417,204,205,409,0
Thu Apr 23 13:16:05 2026,1776930365,0,410,410,410
Thu Apr 23 13:16:53 2026,1776930413,204,308,512,0
Thu Apr 23 13:16:04 2026,1776930364,0,512,512,511
Thu Apr 23 13:16:05 2026,1776930365,0,43821,43821,43820
