Percentage served,Time in ms
0,6.205
1,6.847
2,6.954
3,6.977
4,7.001
5,7.248
6,7.460
7,8.031
8,8.163
9,8.336
10,8.468
11,8.552
12,8.627
13,8.735
14,8.766
15,8.904
16,8.948
17,8.983
18,9.053
19,9.082
20,9.120
21,9.140
22,9.281
23,9.367
24,9.429
25,9.436
26,9.470
27,9.621
28,9.658
29,9.790
30,9.818
31,9.957
32,9.998
33,10.056
34,10.138
35,10.213
36,10.253
37,10.261
38,10.306
39,10.471
40,10.597
41,10.791
42,11.005
43,11.023
44,11.485
45,11.554
46,11.831
47,12.826
48,15.720
49,28.850
50,76.494
51,91.289
52,92.918
53,101.954
54,102.271
55,102.281
56,102.289
57,102.306
58,102.350
59,102.477
60,102.505
61,106.014
62,113.838
63,185.684
64,204.221
65,204.513
66,204.515
67,204.533
68,204.568
69,204.674
70,204.698
71,204.699
72,204.716
73,204.749
74,204.753
75,204.823
76,204.828
77,204.830
78,204.924
79,204.967
80,204.973
81,205.040
82,205.067
83,205.128
84,205.185
85,205.251
86,205.274
87,205.275
88,205.913
89,213.933
90,215.611
91,307.033
92,532.126
93,613.885
94,614.084
95,614.753
96,614.765
97,615.248
98,715.098
99,937.572
100,937.572
