starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 13:13:16 2026	1776930196	3	3	6	0
Thu Apr 23 13:13:16 2026	1776930196	3	4	7	0
Thu Apr 23 13:13:16 2026	1776930196	3	4	7	0
Thu Apr 23 13:13:16 2026	1776930196	3	4	7	0
Thu Apr 23 13:13:16 2026	1776930196	3	4	7	0
Thu Apr 23 13:13:16 2026	1776930196	0	7	7	0
Thu Apr 23 13:13:16 2026	1776930196	4	3	7	0
Thu Apr 23 13:13:17 2026	1776930197	4	4	8	0
Thu Apr 23 13:13:16 2026	1776930196	4	4	8	0
Thu Apr 23 13:13:16 2026	1776930196	4	4	8	0
Thu Apr 23 13:13:16 2026	1776930196	4	4	8	0
Thu Apr 23 13:13:16 2026	1776930196	4	5	9	0
Thu Apr 23 13:13:16 2026	1776930196	3	6	9	0
Thu Apr 23 13:13:16 2026	1776930196	5	4	9	0
Thu Apr 23 13:13:16 2026	1776930196	5	4	9	0
Thu Apr 23 13:13:16 2026	1776930196	4	4	9	0
Thu Apr 23 13:13:16 2026	1776930196	5	4	9	0
Thu Apr 23 13:13:16 2026	1776930196	4	5	9	0
Thu Apr 23 13:13:16 2026	1776930196	5	5	9	0
Thu Apr 23 13:13:16 2026	1776930196	4	5	9	0
Thu Apr 23 13:13:16 2026	1776930196	4	5	9	0
Thu Apr 23 13:13:16 2026	1776930196	5	4	9	0
Thu Apr 23 13:13:16 2026	1776930196	4	5	9	0
Thu Apr 23 13:13:16 2026	1776930196	4	5	9	0
Thu Apr 23 13:13:16 2026	1776930196	5	4	9	0
Thu Apr 23 13:13:16 2026	1776930196	4	5	9	0
Thu Apr 23 13:13:16 2026	1776930196	4	5	9	0
Thu Apr 23 13:13:16 2026	1776930196	4	6	10	0
Thu Apr 23 13:13:16 2026	1776930196	5	5	10	0
Thu Apr 23 13:13:16 2026	1776930196	4	6	10	0
Thu Apr 23 13:13:16 2026	1776930196	4	6	10	0
Thu Apr 23 13:13:16 2026	1776930196	4	6	10	0
Thu Apr 23 13:13:16 2026	1776930196	5	5	10	0
Thu Apr 23 13:13:16 2026	1776930196	4	6	10	0
Thu Apr 23 13:13:16 2026	1776930196	6	4	10	0
Thu Apr 23 13:13:16 2026	1776930196	4	6	10	0
