Percentage served,Time in ms
0,4.995
1,5.032
2,5.221
3,5.230
4,5.292
5,5.693
6,5.744
7,5.913
8,6.107
9,6.279
10,6.646
11,7.170
12,7.178
13,7.389
14,7.392
15,7.634
16,7.658
17,7.738
18,7.991
19,8.020
20,8.164
21,8.311
22,8.373
23,8.465
24,8.502
25,8.517
26,8.554
27,8.639
28,8.654
29,8.829
30,9.061
31,9.119
32,9.121
33,9.125
34,9.330
35,9.382
36,9.526
37,9.600
38,9.921
39,9.969
40,10.046
41,10.185
42,10.455
43,10.509
44,10.598
45,10.685
46,10.979
47,11.033
48,11.186
49,11.341
50,11.410
51,11.529
52,11.635
53,11.737
54,11.760
55,11.767
56,12.199
57,12.312
58,12.371
59,12.503
60,12.625
61,12.681
62,12.731
63,12.764
64,12.769
65,12.821
66,12.861
67,12.882
68,13.060
69,13.088
70,13.158
71,13.181
72,13.552
73,14.287
74,14.726
75,14.926
76,15.263
77,15.273
78,15.650
79,17.086
80,17.375
81,18.812
82,20.028
83,22.818
84,26.024
85,86.986
86,87.872
87,99.155
88,108.822
89,121.924
90,128.810
91,147.805
92,184.522
93,186.242
94,204.607
95,204.695
96,205.111
97,306.467
98,338.166
99,45949.725
100,45949.725
