starttime,seconds,ctime,dtime,ttime,wait
Thu Apr 23 13:34:52 2026,1776931492,3,2,5,0
Thu Apr 23 13:34:52 2026,1776931492,2,3,5,0
Thu Apr 23 13:34:52 2026,1776931492,3,3,5,0
Thu Apr 23 13:34:51 2026,1776931491,3,2,5,0
Thu Apr 23 13:34:52 2026,1776931492,3,2,5,0
Thu Apr 23 13:34:52 2026,1776931492,3,3,6,0
Thu Apr 23 13:34:52 2026,1776931492,3,3,6,0
Thu Apr 23 13:34:52 2026,1776931492,3,3,6,0
Thu Apr 23 13:34:52 2026,1776931492,4,3,6,0
Thu Apr 23 13:34:52 2026,1776931492,3,3,6,0
Thu Apr 23 13:34:52 2026,1776931492,3,3,7,0
Thu Apr 23 13:34:52 2026,1776931492,3,4,7,0
Thu Apr 23 13:34:51 2026,1776931491,5,3,7,0
Thu Apr 23 13:34:50 2026,1776931490,3,4,7,0
Thu Apr 23 13:34:52 2026,1776931492,4,3,7,0
Thu Apr 23 13:34:50 2026,1776931490,5,3,8,0
Thu Apr 23 13:34:52 2026,1776931492,5,3,8,0
Thu Apr 23 13:34:52 2026,1776931492,3,5,8,0
Thu Apr 23 13:34:50 2026,1776931490,3,5,8,0
Thu Apr 23 13:34:50 2026,1776931490,4,4,8,0
Thu Apr 23 13:34:52 2026,1776931492,5,3,8,0
Thu Apr 23 13:34:52 2026,1776931492,2,6,8,0
Thu Apr 23 13:34:51 2026,1776931491,4,5,8,0
Thu Apr 23 13:34:52 2026,1776931492,4,4,8,0
Thu Apr 23 13:34:51 2026,1776931491,5,3,9,0
Thu Apr 23 13:34:51 2026,1776931491,6,3,9,0
Thu Apr 23 13:34:51 2026,1776931491,3,5,9,0
Thu Apr 23 13:34:51 2026,1776931491,4,5,9,0
Thu Apr 23 13:34:51 2026,1776931491,3,6,9,0
Thu Apr 23 13:34:51 2026,1776931491,5,4,9,0
Thu Apr 23 13:34:50 2026,1776931490,3,6,9,0
Thu Apr 23 13:34:50 2026,1776931490,6,3,9,0
Thu Apr 23 13:34:50 2026,1776931490,4,5,9,0
Thu Apr 23 13:34:51 2026,1776931491,6,4,9,0
Thu Apr 23 13:34:50 2026,1776931490,6,3,9,0
Thu Apr 23 13:34:51 2026,1776931491,6,4,9,0
Thu Apr 23 13:34:50 2026,1776931490,3,6,10,0
Thu Apr 23 13:34:51 2026,1776931491,5,5,10,0
Thu Apr 23 13:34:51 2026,1776931491,5,5,10,0
Thu Apr 23 13:34:50 2026,1776931490,4,6,10,0
Thu Apr 23 13:34:51 2026,1776931491,5,5,10,0
Thu Apr 23 13:34:51 2026,1776931491,4,7,10,0
Thu Apr 23 13:34:51 2026,1776931491,4,7,10,0
Thu Apr 23 13:34:52 2026,1776931492,7,3,11,0
Thu Apr 23 13:34:50 2026,1776931490,5,6,11,0
Thu Apr 23 13:34:50 2026,1776931490,4,7,11,0
Thu Apr 23 13:34:51 2026,1776931491,5,6,11,0
Thu Apr 23 13:34:50 2026,1776931490,4,7,11,0
Thu Apr 23 13:34:51 2026,1776931491,5,7,11,0
Thu Apr 23 13:34:51 2026,1776931491,6,5,11,0
Thu Apr 23 13:34:52 2026,1776931492,4,7,11,0
Thu Apr 23 13:34:50 2026,1776931490,8,4,12,0
Thu Apr 23 13:34:50 2026,1776931490,7,5,12,0
Thu Apr 23 13:34:50 2026,1776931490,7,5,12,0
Thu Apr 23 13:34:51 2026,1776931491,6,6,12,0
Thu Apr 23 13:34:52 2026,1776931492,4,7,12,0
Thu Apr 23 13:34:50 2026,1776931490,6,7,12,0
Thu Apr 23 13:34:50 2026,1776931490,4,8,12,0
Thu Apr 23 13:34:52 2026,1776931492,5,7,12,0
Thu Apr 23 13:34:51 2026,1776931491,5,7,13,0
Thu Apr 23 13:34:50 2026,1776931490,0,13,13,0
Thu Apr 23 13:34:52 2026,1776931492,6,7,13,0
Thu Apr 23 13:34:52 2026,1776931492,9,4,13,0
Thu Apr 23 13:34:52 2026,1776931492,5,8,13,0
Thu Apr 23 13:34:52 2026,1776931492,5,8,13,0
Thu Apr 23 13:34:51 2026,1776931491,6,7,13,0
Thu Apr 23 13:34:51 2026,1776931491,7,6,13,0
Thu Apr 23 13:34:50 2026,1776931490,7,6,13,0
Thu Apr 23 13:34:51 2026,1776931491,6,7,13,0
Thu Apr 23 13:34:51 2026,1776931491,6,7,13,0
Thu Apr 23 13:34:51 2026,1776931491,6,7,13,0
Thu Apr 23 13:34:51 2026,1776931491,7,6,13,0
Thu Apr 23 13:34:50 2026,1776931490,5,8,14,0
Thu Apr 23 13:34:51 2026,1776931491,9,6,14,0
Thu Apr 23 13:34:51 2026,1776931491,7,8,15,0
Thu Apr 23 13:34:51 2026,1776931491,7,8,15,0
Thu Apr 23 13:34:51 2026,1776931491,9,7,15,0
Thu Apr 23 13:34:51 2026,1776931491,6,9,15,0
Thu Apr 23 13:34:50 2026,1776931490,8,8,16,0
Thu Apr 23 13:34:50 2026,1776931490,10,7,17,0
Thu Apr 23 13:34:51 2026,1776931491,4,13,17,0
Thu Apr 23 13:34:51 2026,1776931491,8,11,19,0
Thu Apr 23 13:34:50 2026,1776931490,15,6,20,0
Thu Apr 23 13:34:52 2026,1776931492,14,9,23,0
Thu Apr 23 13:34:04 2026,1776931444,0,26,26,26
Thu Apr 23 13:34:04 2026,1776931444,0,87,87,86
Thu Apr 23 13:34:50 2026,1776931490,72,15,88,0
Thu Apr 23 13:34:52 2026,1776931492,90,9,99,0
Thu Apr 23 13:34:51 2026,1776931491,96,13,109,0
Thu Apr 23 13:34:51 2026,1776931491,102,20,122,0
Thu Apr 23 13:34:04 2026,1776931444,0,129,129,128
Thu Apr 23 13:34:50 2026,1776931490,20,128,148,0
Thu Apr 23 13:34:51 2026,1776931491,85,100,185,0
Thu Apr 23 13:34:51 2026,1776931491,39,147,186,0
Thu Apr 23 13:34:03 2026,1776931443,0,205,205,203
Thu Apr 23 13:34:03 2026,1776931443,0,205,205,204
Thu Apr 23 13:34:04 2026,1776931444,0,205,205,204
Thu Apr 23 13:34:03 2026,1776931443,0,306,306,306
Thu Apr 23 13:34:03 2026,1776931443,131,207,338,207
Thu Apr 23 13:34:04 2026,1776931444,0,45950,45950,45949
