Percentage served,Time in ms
0,7.172
1,8.164
2,8.281
3,8.727
4,8.784
5,8.788
6,8.857
7,9.024
8,9.699
9,9.706
10,9.724
11,9.786
12,9.815
13,9.940
14,10.013
15,10.179
16,10.249
17,10.359
18,10.550
19,10.629
20,10.650
21,10.758
22,10.817
23,10.917
24,10.965
25,10.974
26,11.240
27,11.281
28,11.385
29,11.390
30,11.814
31,11.838
32,12.004
33,12.040
34,12.089
35,12.114
36,12.304
37,12.365
38,12.509
39,12.607
40,12.767
41,12.775
42,12.935
43,12.937
44,13.037
45,13.069
46,13.189
47,13.232
48,13.270
49,13.598
50,13.624
51,13.649
52,13.679
53,13.689
54,13.719
55,13.942
56,13.980
57,14.086
58,14.238
59,14.255
60,14.415
61,14.767
62,14.870
63,15.053
64,15.323
65,15.524
66,15.548
67,15.685
68,15.813
69,15.868
70,15.939
71,16.207
72,16.233
73,16.422
74,16.698
75,16.970
76,17.419
77,17.850
78,18.221
79,18.612
80,18.644
81,18.709
82,19.773
83,20.105
84,21.527
85,22.724
86,23.105
87,23.352
88,23.925
89,25.651
90,102.946
91,109.996
92,113.044
93,196.006
94,204.321
95,213.426
96,230.885
97,264.354
98,716.451
99,51405.731
100,51405.731
