starttime,seconds,ctime,dtime,ttime,wait
Thu Apr 23 15:59:56 2026,1776940196,3,4,7,0
Thu Apr 23 15:59:56 2026,1776940196,5,3,8,0
Thu Apr 23 15:59:57 2026,1776940197,5,4,8,0
Thu Apr 23 15:59:57 2026,1776940197,5,4,9,0
Thu Apr 23 15:59:57 2026,1776940197,4,5,9,0
Thu Apr 23 15:59:57 2026,1776940197,4,5,9,0
Thu Apr 23 15:59:56 2026,1776940196,5,4,9,0
Thu Apr 23 15:59:57 2026,1776940197,4,5,9,0
Thu Apr 23 15:59:57 2026,1776940197,5,5,10,0
Thu Apr 23 15:59:57 2026,1776940197,6,3,10,0
Thu Apr 23 15:59:56 2026,1776940196,5,5,10,0
Thu Apr 23 15:59:56 2026,1776940196,5,4,10,0
Thu Apr 23 15:59:57 2026,1776940197,4,6,10,0
Thu Apr 23 15:59:56 2026,1776940196,6,4,10,0
Thu Apr 23 15:59:57 2026,1776940197,4,6,10,0
Thu Apr 23 15:59:57 2026,1776940197,4,6,10,0
Thu Apr 23 15:59:57 2026,1776940197,4,6,10,0
Thu Apr 23 15:59:56 2026,1776940196,5,5,10,0
Thu Apr 23 15:59:57 2026,1776940197,5,5,11,0
Thu Apr 23 15:59:57 2026,1776940197,6,5,11,0
Thu Apr 23 15:59:57 2026,1776940197,4,7,11,0
Thu Apr 23 15:59:56 2026,1776940196,5,6,11,0
Thu Apr 23 15:59:57 2026,1776940197,6,4,11,0
Thu Apr 23 15:59:57 2026,1776940197,6,5,11,0
Thu Apr 23 15:59:56 2026,1776940196,6,5,11,0
Thu Apr 23 15:59:56 2026,1776940196,5,6,11,0
Thu Apr 23 15:59:56 2026,1776940196,6,5,11,0
Thu Apr 23 15:59:57 2026,1776940197,6,6,11,0
Thu Apr 23 15:59:56 2026,1776940196,5,6,11,0
Thu Apr 23 15:59:57 2026,1776940197,4,7,11,0
Thu Apr 23 15:59:56 2026,1776940196,7,5,12,0
Thu Apr 23 15:59:57 2026,1776940197,5,7,12,0
Thu Apr 23 15:59:57 2026,1776940197,8,4,12,0
Thu Apr 23 15:59:57 2026,1776940197,7,5,12,0
Thu Apr 23 15:59:57 2026,1776940197,6,6,12,0
Thu Apr 23 15:59:57 2026,1776940197,5,8,12,0
Thu Apr 23 15:59:57 2026,1776940197,5,7,12,0
Thu Apr 23 15:59:57 2026,1776940197,5,7,12,0
Thu Apr 23 15:59:57 2026,1776940197,5,7,13,0
Thu Apr 23 15:59:57 2026,1776940197,5,7,13,0
Thu Apr 23 15:59:56 2026,1776940196,8,5,13,0
Thu Apr 23 15:59:57 2026,1776940197,9,4,13,0
Thu Apr 23 15:59:57 2026,1776940197,7,6,13,0
Thu Apr 23 15:59:56 2026,1776940196,5,8,13,0
Thu Apr 23 15:59:57 2026,1776940197,6,7,13,0
