starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 15:57:37 2026	1776940057	2	2	4	0
Thu Apr 23 15:57:37 2026	1776940057	2	2	5	0
Thu Apr 23 15:57:37 2026	1776940057	2	2	5	0
Thu Apr 23 15:57:38 2026	1776940058	3	2	5	0
Thu Apr 23 15:57:38 2026	1776940058	3	2	5	0
Thu Apr 23 15:57:37 2026	1776940057	3	2	5	0
Thu Apr 23 15:57:38 2026	1776940058	2	3	5	0
Thu Apr 23 15:57:37 2026	1776940057	2	3	5	0
Thu Apr 23 15:57:38 2026	1776940058	2	3	5	0
Thu Apr 23 15:57:38 2026	1776940058	4	2	6	0
Thu Apr 23 15:57:38 2026	1776940058	3	3	6	0
Thu Apr 23 15:57:38 2026	1776940058	3	2	6	0
Thu Apr 23 15:57:37 2026	1776940057	3	3	6	0
Thu Apr 23 15:57:37 2026	1776940057	3	3	6	0
Thu Apr 23 15:57:38 2026	1776940058	4	3	6	0
Thu Apr 23 15:57:38 2026	1776940058	3	4	7	0
Thu Apr 23 15:57:37 2026	1776940057	4	2	7	0
Thu Apr 23 15:57:37 2026	1776940057	4	3	7	0
Thu Apr 23 15:57:38 2026	1776940058	4	3	7	0
Thu Apr 23 15:57:38 2026	1776940058	4	3	7	0
Thu Apr 23 15:57:38 2026	1776940058	5	2	7	0
Thu Apr 23 15:57:38 2026	1776940058	3	4	7	0
Thu Apr 23 15:57:38 2026	1776940058	4	3	7	0
Thu Apr 23 15:57:37 2026	1776940057	3	4	7	0
Thu Apr 23 15:57:37 2026	1776940057	3	4	7	0
Thu Apr 23 15:57:38 2026	1776940058	4	4	8	0
Thu Apr 23 15:57:38 2026	1776940058	4	4	8	0
Thu Apr 23 15:57:38 2026	1776940058	4	4	8	0
Thu Apr 23 15:57:37 2026	1776940057	3	4	8	0
Thu Apr 23 15:57:38 2026	1776940058	2	6	8	0
Thu Apr 23 15:57:38 2026	1776940058	4	4	8	0
Thu Apr 23 15:57:37 2026	1776940057	4	4	8	0
Thu Apr 23 15:57:38 2026	1776940058	3	5	8	0
Thu Apr 23 15:57:38 2026	1776940058	3	5	8	0
Thu Apr 23 15:57:37 2026	1776940057	2	6	8	0
Thu Apr 23 15:57:38 2026	1776940058	5	3	8	0
Thu Apr 23 15:57:37 2026	1776940057	5	3	8	0
Thu Apr 23 15:57:38 2026	1776940058	5	3	8	0
Thu Apr 23 15:57:38 2026	1776940058	4	4	8	0
Thu Apr 23 15:57:38 2026	1776940058	4	5	8	0
Thu Apr 23 15:57:38 2026	1776940058	6	2	9	0
Thu Apr 23 15:57:38 2026	1776940058	4	5	9	0
Thu Apr 23 15:57:37 2026	1776940057	3	6	9	0
Thu Apr 23 15:57:38 2026	1776940058	4	5	9	0
Thu Apr 23 15:57:37 2026	1776940057	5	4	9	0
Thu Apr 23 15:57:38 2026	1776940058	5	3	9	0
Thu Apr 23 15:57:37 2026	1776940057	5	4	9	0
Thu Apr 23 15:57:38 2026	1776940058	5	4	9	0
Thu Apr 23 15:57:38 2026	1776940058	6	3	9	0
Thu Apr 23 15:57:38 2026	1776940058	6	3	9	0
Thu Apr 23 15:57:38 2026	1776940058	5	5	9	0
Thu Apr 23 15:57:38 2026	1776940058	6	3	9	0
Thu Apr 23 15:57:38 2026	1776940058	3	6	9	0
Thu Apr 23 15:57:38 2026	1776940058	5	4	9	0
Thu Apr 23 15:57:38 2026	1776940058	6	4	9	0
Thu Apr 23 15:57:37 2026	1776940057	5	5	9	0
Thu Apr 23 15:57:38 2026	1776940058	6	4	9	0
Thu Apr 23 15:57:37 2026	1776940057	6	3	9	0
Thu Apr 23 15:57:38 2026	1776940058	3	7	9	0
Thu Apr 23 15:57:38 2026	1776940058	2	7	9	0
Thu Apr 23 15:57:38 2026	1776940058	6	4	9	0
Thu Apr 23 15:57:38 2026	1776940058	5	5	10	0
Thu Apr 23 15:57:37 2026	1776940057	6	4	10	0
Thu Apr 23 15:57:38 2026	1776940058	6	4	10	0
Thu Apr 23 15:57:38 2026	1776940058	5	5	10	0
Thu Apr 23 15:57:38 2026	1776940058	6	5	11	0
Thu Apr 23 15:57:37 2026	1776940057	5	6	11	0
Thu Apr 23 15:57:37 2026	1776940057	5	6	11	0
Thu Apr 23 15:57:38 2026	1776940058	7	4	11	0
Thu Apr 23 15:57:38 2026	1776940058	4	7	12	0
Thu Apr 23 15:57:38 2026	1776940058	6	6	12	0
Thu Apr 23 15:57:38 2026	1776940058	6	6	12	0
Thu Apr 23 15:57:37 2026	1776940057	9	3	12	0
Thu Apr 23 15:57:37 2026	1776940057	3	9	12	0
Thu Apr 23 15:57:38 2026	1776940058	7	6	12	0
Thu Apr 23 15:57:38 2026	1776940058	7	5	12	0
Thu Apr 23 15:57:38 2026	1776940058	6	7	13	0
Thu Apr 23 15:57:38 2026	1776940058	7	6	13	0
Thu Apr 23 15:57:38 2026	1776940058	7	6	13	0
Thu Apr 23 15:57:37 2026	1776940057	6	7	13	0
Thu Apr 23 15:57:38 2026	1776940058	9	5	14	0
Thu Apr 23 15:57:38 2026	1776940058	7	7	14	0
Thu Apr 23 15:57:38 2026	1776940058	7	8	15	0
Thu Apr 23 15:57:38 2026	1776940058	8	8	15	0
Thu Apr 23 15:57:37 2026	1776940057	7	8	15	0
Thu Apr 23 15:57:37 2026	1776940057	12	4	16	0
Thu Apr 23 15:57:38 2026	1776940058	6	10	16	0
Thu Apr 23 15:57:38 2026	1776940058	12	4	16	0
Thu Apr 23 15:57:38 2026	1776940058	5	12	17	0
Thu Apr 23 15:57:38 2026	1776940058	6	11	17	0
Thu Apr 23 15:57:37 2026	1776940057	8	11	18	0
Thu Apr 23 15:57:38 2026	1776940058	12	8	19	0
Thu Apr 23 15:57:36 2026	1776940056	0	204	204	0
Thu Apr 23 15:57:37 2026	1776940057	101	203	304	0
Thu Apr 23 15:57:36 2026	1776940056	206	205	410	0
Thu Apr 23 15:57:37 2026	1776940057	206	205	411	0
Thu Apr 23 15:57:03 2026	1776940023	0	593	593	593
Thu Apr 23 15:57:04 2026	1776940024	0	615	615	614
Thu Apr 23 15:57:03 2026	1776940023	215	431	646	431
Thu Apr 23 15:57:04 2026	1776940024	0	31540	31540	31540
