Percentage served,Time in ms
0,9.016
1,10.684
2,11.520
3,13.299
4,15.720
5,16.149
6,16.382
7,16.620
8,16.627
9,16.851
10,16.875
11,16.957
12,17.058
13,17.109
14,17.573
15,17.632
16,17.661
17,17.672
18,17.769
19,18.034
20,18.096
21,18.143
22,18.422
23,19.368
24,19.652
25,19.752
26,20.086
27,20.758
28,20.967
29,21.323
30,21.584
31,21.800
32,22.398
33,23.204
34,29.009
35,31.479
36,101.993
37,102.037
38,102.057
39,102.168
40,102.371
41,102.450
42,102.475
43,102.569
44,102.617
45,109.410
46,112.865
47,116.883
48,124.416
49,132.748
50,174.655
51,186.268
52,190.302
53,197.753
54,201.422
55,203.909
56,204.080
57,204.537
58,204.546
59,204.606
60,204.653
61,204.668
62,204.682
63,204.877
64,204.952
65,205.090
66,205.102
67,205.716
68,205.786
69,209.587
70,223.391
71,251.728
72,296.672
73,306.679
74,306.932
75,307.047
76,307.088
77,307.093
78,307.232
79,307.323
80,307.492
81,307.580
82,307.775
83,408.953
84,408.988
85,409.667
86,410.125
87,410.474
88,470.784
89,511.864
90,512.248
91,512.397
92,716.915
93,720.291
94,2355.434
95,5119.755
96,72793.438
97,119706.261
98,120115.701
99,120423.124
100,120423.124
