starttime,seconds,ctime,dtime,ttime,wait
Thu Apr 23 16:12:36 2026,1776940956,0,9,9,0
Thu Apr 23 16:12:36 2026,1776940956,6,5,11,0
Thu Apr 23 16:12:39 2026,1776940959,7,5,12,0
Thu Apr 23 16:12:38 2026,1776940958,7,7,13,0
Thu Apr 23 16:12:38 2026,1776940958,8,7,16,0
Thu Apr 23 16:12:36 2026,1776940956,10,7,16,0
Thu Apr 23 16:12:36 2026,1776940956,9,8,16,0
Thu Apr 23 16:12:38 2026,1776940958,8,9,17,0
Thu Apr 23 16:12:36 2026,1776940956,10,7,17,0
Thu Apr 23 16:12:39 2026,1776940959,6,11,17,0
Thu Apr 23 16:12:38 2026,1776940958,7,10,17,0
Thu Apr 23 16:12:39 2026,1776940959,9,8,17,0
Thu Apr 23 16:12:38 2026,1776940958,8,9,17,0
Thu Apr 23 16:12:38 2026,1776940958,8,9,17,0
Thu Apr 23 16:12:38 2026,1776940958,11,7,18,0
Thu Apr 23 16:12:39 2026,1776940959,10,8,18,0
Thu Apr 23 16:12:38 2026,1776940958,7,10,18,0
Thu Apr 23 16:12:36 2026,1776940956,7,10,18,0
Thu Apr 23 16:12:38 2026,1776940958,9,9,18,0
Thu Apr 23 16:12:38 2026,1776940958,11,7,18,0
Thu Apr 23 16:12:38 2026,1776940958,6,12,18,0
Thu Apr 23 16:12:36 2026,1776940956,9,9,18,0
Thu Apr 23 16:12:39 2026,1776940959,11,7,18,0
Thu Apr 23 16:12:36 2026,1776940956,10,9,19,0
Thu Apr 23 16:12:36 2026,1776940956,11,8,20,0
Thu Apr 23 16:12:38 2026,1776940958,9,11,20,0
Thu Apr 23 16:12:38 2026,1776940958,14,6,20,0
Thu Apr 23 16:12:36 2026,1776940956,10,11,21,0
Thu Apr 23 16:12:36 2026,1776940956,13,8,21,0
Thu Apr 23 16:12:38 2026,1776940958,13,8,21,0
Thu Apr 23 16:12:36 2026,1776940956,10,12,22,0
Thu Apr 23 16:12:38 2026,1776940958,9,13,22,0
Thu Apr 23 16:12:36 2026,1776940956,16,7,22,0
Thu Apr 23 16:12:38 2026,1776940958,12,11,23,0
Thu Apr 23 16:12:38 2026,1776940958,14,15,29,0
Thu Apr 23 16:05:04 2026,1776940504,0,31,31,31
Thu Apr 23 16:12:29 2026,1776940949,0,102,102,102
Thu Apr 23 16:12:35 2026,1776940955,0,102,102,102
