Percentage served,Time in ms
0,4.140
1,4.338
2,4.351
3,4.403
4,4.498
5,4.637
6,4.643
7,4.675
8,4.786
9,4.810
10,4.875
11,4.968
12,5.029
13,5.044
14,5.095
15,5.097
16,5.184
17,5.215
18,5.230
19,5.292
20,5.397
21,5.404
22,5.425
23,5.448
24,5.457
25,5.596
26,5.601
27,5.647
28,5.649
29,5.693
30,5.698
31,5.706
32,5.750
33,5.752
34,5.944
35,5.962
36,5.994
37,6.020
38,6.096
39,6.125
40,6.146
41,6.151
42,6.156
43,6.166
44,6.211
45,6.261
46,6.295
47,6.434
48,6.458
49,6.484
50,6.499
51,6.507
52,6.524
53,6.534
54,6.583
55,6.635
56,6.669
57,6.738
58,6.795
59,6.806
60,6.840
61,6.877
62,6.901
63,6.929
64,7.042
65,7.105
66,7.124
67,7.319
68,7.439
69,7.446
70,7.486
71,7.503
72,7.603
73,7.800
74,7.819
75,7.872
76,8.237
77,8.279
78,8.576
79,8.585
80,8.665
81,8.692
82,8.779
83,9.338
84,9.800
85,9.818
86,9.946
87,9.947
88,10.549
89,11.823
90,20.893
91,205.294
92,248.728
93,271.262
94,307.422
95,330.565
96,385.596
97,408.170
98,408.936
99,38584.579
100,38584.579
