starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 17:31:39 2026	1776859299	3	3	6	0
Wed Apr 22 17:31:39 2026	1776859299	3	3	6	0
Wed Apr 22 17:31:39 2026	1776859299	3	3	6	0
Wed Apr 22 17:31:39 2026	1776859299	3	3	6	0
Wed Apr 22 17:31:39 2026	1776859299	4	2	6	0
Wed Apr 22 17:31:39 2026	1776859299	3	4	6	0
Wed Apr 22 17:31:39 2026	1776859299	3	3	6	0
Wed Apr 22 17:31:39 2026	1776859299	3	4	7	0
Wed Apr 22 17:31:39 2026	1776859299	3	4	7	0
Wed Apr 22 17:31:39 2026	1776859299	3	4	7	0
Wed Apr 22 17:31:39 2026	1776859299	3	4	7	0
Wed Apr 22 17:31:39 2026	1776859299	4	3	7	0
Wed Apr 22 17:31:39 2026	1776859299	4	3	7	0
Wed Apr 22 17:31:39 2026	1776859299	4	3	7	0
Wed Apr 22 17:31:39 2026	1776859299	2	5	7	0
Wed Apr 22 17:31:39 2026	1776859299	5	2	7	0
Wed Apr 22 17:31:39 2026	1776859299	3	4	7	0
Wed Apr 22 17:31:39 2026	1776859299	5	3	7	0
Wed Apr 22 17:31:39 2026	1776859299	4	3	7	0
Wed Apr 22 17:31:39 2026	1776859299	3	4	7	0
Wed Apr 22 17:31:39 2026	1776859299	4	4	7	0
Wed Apr 22 17:31:39 2026	1776859299	5	3	8	0
Wed Apr 22 17:31:39 2026	1776859299	4	4	8	0
Wed Apr 22 17:31:39 2026	1776859299	4	4	8	0
Wed Apr 22 17:31:39 2026	1776859299	4	4	8	0
Wed Apr 22 17:31:39 2026	1776859299	5	3	8	0
Wed Apr 22 17:31:39 2026	1776859299	3	5	8	0
Wed Apr 22 17:31:39 2026	1776859299	4	4	8	0
Wed Apr 22 17:31:39 2026	1776859299	3	5	8	0
Wed Apr 22 17:31:39 2026	1776859299	3	5	8	0
Wed Apr 22 17:31:39 2026	1776859299	4	4	8	0
Wed Apr 22 17:31:39 2026	1776859299	4	4	8	0
Wed Apr 22 17:31:39 2026	1776859299	4	4	8	0
Wed Apr 22 17:31:39 2026	1776859299	4	4	8	0
Wed Apr 22 17:31:39 2026	1776859299	2	6	8	0
Wed Apr 22 17:31:39 2026	1776859299	6	3	8	0
Wed Apr 22 17:31:39 2026	1776859299	5	4	8	0
Wed Apr 22 17:31:39 2026	1776859299	3	6	9	0
Wed Apr 22 17:31:39 2026	1776859299	3	6	9	0
Wed Apr 22 17:31:39 2026	1776859299	4	4	9	0
Wed Apr 22 17:31:39 2026	1776859299	5	3	9	0
Wed Apr 22 17:31:39 2026	1776859299	5	4	9	0
Wed Apr 22 17:31:39 2026	1776859299	3	6	9	0
Wed Apr 22 17:31:39 2026	1776859299	3	6	9	0
Wed Apr 22 17:31:39 2026	1776859299	3	6	9	0
Wed Apr 22 17:31:39 2026	1776859299	3	6	9	0
Wed Apr 22 17:31:39 2026	1776859299	4	5	9	0
Wed Apr 22 17:31:39 2026	1776859299	5	4	9	0
Wed Apr 22 17:31:39 2026	1776859299	6	3	9	0
Wed Apr 22 17:31:39 2026	1776859299	3	6	9	0
Wed Apr 22 17:31:39 2026	1776859299	6	4	9	0
Wed Apr 22 17:31:39 2026	1776859299	4	6	9	0
Wed Apr 22 17:31:39 2026	1776859299	4	5	9	0
Wed Apr 22 17:31:39 2026	1776859299	4	5	9	0
Wed Apr 22 17:31:39 2026	1776859299	5	4	10	0
Wed Apr 22 17:31:39 2026	1776859299	5	5	10	0
Wed Apr 22 17:31:39 2026	1776859299	4	5	10	0
Wed Apr 22 17:31:39 2026	1776859299	6	4	10	0
Wed Apr 22 17:31:39 2026	1776859299	3	6	10	0
Wed Apr 22 17:31:39 2026	1776859299	4	5	10	0
Wed Apr 22 17:31:39 2026	1776859299	4	6	10	0
Wed Apr 22 17:31:39 2026	1776859299	4	6	10	0
Wed Apr 22 17:31:39 2026	1776859299	4	6	10	0
Wed Apr 22 17:31:39 2026	1776859299	3	7	10	0
Wed Apr 22 17:31:39 2026	1776859299	3	7	10	0
Wed Apr 22 17:31:39 2026	1776859299	7	4	10	0
Wed Apr 22 17:31:39 2026	1776859299	5	5	10	0
Wed Apr 22 17:31:39 2026	1776859299	5	5	10	0
Wed Apr 22 17:31:39 2026	1776859299	4	7	11	0
Wed Apr 22 17:31:39 2026	1776859299	3	8	11	0
Wed Apr 22 17:31:39 2026	1776859299	5	6	11	0
Wed Apr 22 17:31:39 2026	1776859299	4	7	11	0
Wed Apr 22 17:31:39 2026	1776859299	5	6	11	0
Wed Apr 22 17:31:39 2026	1776859299	5	6	11	0
Wed Apr 22 17:31:39 2026	1776859299	7	4	11	0
Wed Apr 22 17:31:39 2026	1776859299	5	6	11	0
Wed Apr 22 17:31:39 2026	1776859299	6	5	11	0
Wed Apr 22 17:31:39 2026	1776859299	5	6	11	0
Wed Apr 22 17:31:39 2026	1776859299	4	7	11	0
Wed Apr 22 17:31:39 2026	1776859299	5	6	11	0
Wed Apr 22 17:31:39 2026	1776859299	6	5	11	0
Wed Apr 22 17:31:39 2026	1776859299	6	5	11	0
Wed Apr 22 17:31:39 2026	1776859299	4	7	11	0
Wed Apr 22 17:31:39 2026	1776859299	4	7	11	0
Wed Apr 22 17:31:39 2026	1776859299	5	6	12	0
Wed Apr 22 17:31:39 2026	1776859299	5	6	12	0
Wed Apr 22 17:31:39 2026	1776859299	8	4	12	0
Wed Apr 22 17:31:39 2026	1776859299	5	7	12	0
Wed Apr 22 17:31:39 2026	1776859299	4	8	12	0
Wed Apr 22 17:31:39 2026	1776859299	7	7	13	0
Wed Apr 22 17:31:39 2026	1776859299	7	7	14	0
Wed Apr 22 17:31:39 2026	1776859299	7	8	14	0
Wed Apr 22 17:31:39 2026	1776859299	7	8	14	0
Wed Apr 22 17:31:38 2026	1776859298	0	205	205	0
Wed Apr 22 17:31:05 2026	1776859265	0	218	218	218
Wed Apr 22 17:31:03 2026	1776859263	0	264	264	264
Wed Apr 22 17:31:38 2026	1776859298	102	205	307	0
Wed Apr 22 17:31:03 2026	1776859263	200	206	407	206
Wed Apr 22 17:31:04 2026	1776859264	0	1886	1886	1885
Wed Apr 22 17:31:06 2026	1776859266	0	32446	32446	32445
