Percentage served,Time in ms
0,3.240
1,4.001
2,4.187
3,4.312
4,4.338
5,4.342
6,4.386
7,4.498
8,4.506
9,4.569
10,4.694
11,4.696
12,4.711
13,4.841
14,4.854
15,4.872
16,4.889
17,4.901
18,4.922
19,4.927
20,5.007
21,5.048
22,5.072
23,5.082
24,5.084
25,5.090
26,5.170
27,5.182
28,5.188
29,5.198
30,5.227
31,5.339
32,5.366
33,5.593
34,5.664
35,5.698
36,5.711
37,5.768
38,5.775
39,5.801
40,5.943
41,6.061
42,6.208
43,6.358
44,6.438
45,6.586
46,7.321
47,8.616
48,9.500
49,9.817
50,10.015
51,10.283
52,12.490
53,12.783
54,14.099
55,15.667
56,16.247
57,16.273
58,16.736
59,17.248
60,18.057
61,18.075
62,19.186
63,19.449
64,23.420
65,26.457
66,27.710
67,28.519
68,28.989
69,29.648
70,29.933
71,30.795
72,32.132
73,36.987
74,39.621
75,39.682
76,43.765
77,46.826
78,56.055
79,59.196
80,83.501
81,85.282
82,91.356
83,98.821
84,100.895
85,101.212
86,101.439
87,102.244
88,102.403
89,106.981
90,128.891
91,189.128
92,208.062
93,307.230
94,407.435
95,408.953
96,409.607
97,512.926
98,608.926
99,26478.474
100,26478.474
