starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 17:35:35 2026	1776859535	0	3	3	0
Wed Apr 22 17:35:35 2026	1776859535	2	2	4	0
Wed Apr 22 17:35:35 2026	1776859535	2	2	4	0
Wed Apr 22 17:35:35 2026	1776859535	2	2	4	0
Wed Apr 22 17:35:35 2026	1776859535	2	2	4	0
Wed Apr 22 17:35:35 2026	1776859535	2	2	4	0
Wed Apr 22 17:35:35 2026	1776859535	2	2	4	0
Wed Apr 22 17:35:35 2026	1776859535	2	2	4	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	2	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	2	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	3	2	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	3	2	5	0
Wed Apr 22 17:35:35 2026	1776859535	3	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	5	0
Wed Apr 22 17:35:35 2026	1776859535	2	3	6	0
Wed Apr 22 17:35:35 2026	1776859535	3	3	6	0
Wed Apr 22 17:35:35 2026	1776859535	2	4	6	0
Wed Apr 22 17:35:35 2026	1776859535	3	3	6	0
Wed Apr 22 17:35:35 2026	1776859535	2	4	6	0
Wed Apr 22 17:35:35 2026	1776859535	2	4	6	0
Wed Apr 22 17:35:35 2026	1776859535	2	4	6	0
Wed Apr 22 17:35:35 2026	1776859535	2	4	6	0
Wed Apr 22 17:35:35 2026	1776859535	3	3	6	0
Wed Apr 22 17:35:35 2026	1776859535	3	3	6	0
Wed Apr 22 17:35:35 2026	1776859535	3	4	6	0
Wed Apr 22 17:35:35 2026	1776859535	3	4	6	0
