Percentage served,Time in ms
0,3.496
1,3.532
2,3.536
3,3.599
4,3.675
5,3.684
6,3.716
7,3.720
8,3.757
9,3.759
10,3.786
11,3.793
12,3.829
13,3.846
14,3.871
15,3.886
16,3.891
17,3.900
18,3.938
19,3.946
20,3.959
21,3.977
22,3.989
23,4.000
24,4.029
25,4.036
26,4.100
27,4.129
28,4.174
29,4.185
30,4.188
31,4.210
32,4.232
33,4.253
34,4.273
35,4.313
36,4.356
37,4.358
38,4.359
39,4.362
40,4.417
41,4.461
42,4.472
43,4.486
44,4.495
45,4.496
46,4.503
47,4.510
48,4.582
49,4.585
50,4.588
51,4.650
52,4.662
53,4.667
54,4.775
55,4.799
56,4.843
57,4.847
58,4.966
59,4.996
60,5.019
61,5.116
62,5.116
63,5.134
64,5.375
65,5.386
66,5.474
67,5.506
68,5.561
69,5.619
70,5.632
71,5.766
72,5.811
73,5.980
74,6.838
75,7.129
76,7.141
77,7.255
78,7.660
79,9.164
80,9.565
81,9.815
82,10.447
83,11.037
84,11.040
85,11.631
86,11.790
87,12.339
88,14.104
89,15.722
90,16.863
91,24.307
92,24.684
93,73.421
94,95.416
95,437.573
96,1013.142
97,2974.037
98,6243.726
99,58717.718
100,58717.718
