starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:57:10 2026	1776925630	0	6	6	5
Thu Apr 23 11:57:09 2026	1776925629	0	7	7	6
Thu Apr 23 11:57:06 2026	1776925626	0	8	8	7
Thu Apr 23 11:57:13 2026	1776925633	0	8	8	8
Thu Apr 23 11:57:12 2026	1776925632	0	10	10	9
Thu Apr 23 11:57:07 2026	1776925627	0	10	10	9
Thu Apr 23 11:57:11 2026	1776925631	0	11	11	10
Thu Apr 23 11:57:16 2026	1776925636	0	11	11	10
Thu Apr 23 11:57:08 2026	1776925628	0	11	11	10
Thu Apr 23 11:57:11 2026	1776925631	0	11	11	10
Thu Apr 23 11:57:14 2026	1776925634	0	12	12	11
Thu Apr 23 11:57:12 2026	1776925632	0	12	12	10
Thu Apr 23 11:57:13 2026	1776925633	0	12	12	11
Thu Apr 23 11:57:08 2026	1776925628	0	14	14	13
Thu Apr 23 11:57:04 2026	1776925624	0	14	14	13
Thu Apr 23 11:57:13 2026	1776925633	0	23	23	22
Thu Apr 23 11:57:16 2026	1776925636	0	26	26	24
Thu Apr 23 11:57:04 2026	1776925624	0	30	30	29
Thu Apr 23 11:57:16 2026	1776925636	0	77	77	77
Thu Apr 23 11:57:04 2026	1776925624	0	84	84	82
Thu Apr 23 11:57:14 2026	1776925634	0	84	84	83
Thu Apr 23 11:57:12 2026	1776925632	0	85	85	84
Thu Apr 23 11:57:06 2026	1776925626	0	87	87	87
Thu Apr 23 11:57:16 2026	1776925636	0	88	88	86
Thu Apr 23 11:57:12 2026	1776925632	0	88	88	87
Thu Apr 23 11:57:08 2026	1776925628	0	88	88	87
Thu Apr 23 11:57:11 2026	1776925631	0	90	90	89
Thu Apr 23 11:57:11 2026	1776925631	0	90	90	90
Thu Apr 23 11:57:09 2026	1776925629	0	91	91	90
Thu Apr 23 11:57:07 2026	1776925627	0	93	93	92
Thu Apr 23 11:57:14 2026	1776925634	0	93	93	92
Thu Apr 23 11:57:10 2026	1776925630	0	94	94	93
Thu Apr 23 11:57:14 2026	1776925634	0	96	96	95
Thu Apr 23 11:57:05 2026	1776925625	0	99	99	98
Thu Apr 23 11:57:03 2026	1776925623	0	100	100	100
Thu Apr 23 11:57:13 2026	1776925633	0	101	101	101
Thu Apr 23 11:57:10 2026	1776925630	0	102	102	101
Thu Apr 23 11:57:11 2026	1776925631	0	102	102	100
Thu Apr 23 11:57:16 2026	1776925636	0	102	102	101
Thu Apr 23 11:57:05 2026	1776925625	0	102	102	101
Thu Apr 23 11:57:09 2026	1776925629	0	102	102	101
Thu Apr 23 11:57:14 2026	1776925634	0	102	102	101
Thu Apr 23 11:57:05 2026	1776925625	0	102	102	102
Thu Apr 23 11:57:06 2026	1776925626	0	102	102	102
Thu Apr 23 11:57:12 2026	1776925632	0	102	102	102
