Percentage served,Time in ms
0,3.747
1,3.994
2,4.020
3,4.020
4,4.033
5,4.065
6,4.145
7,4.154
8,4.163
9,4.254
10,4.269
11,4.275
12,4.288
13,4.291
14,4.363
15,4.365
16,4.386
17,4.397
18,4.411
19,4.419
20,4.433
21,4.446
22,4.476
23,4.527
24,4.537
25,4.538
26,4.544
27,4.552
28,4.618
29,4.658
30,4.665
31,4.701
32,4.746
33,4.798
34,4.801
35,4.803
36,4.839
37,4.846
38,4.868
39,4.880
40,4.911
41,4.912
42,4.962
43,4.974
44,5.004
45,5.010
46,5.058
47,5.061
48,5.088
49,5.129
50,5.140
51,5.236
52,5.238
53,5.259
54,5.259
55,5.297
56,5.320
57,5.320
58,5.359
59,5.359
60,5.379
61,5.391
62,5.598
63,5.674
64,5.675
65,5.682
66,5.710
67,5.719
68,5.781
69,5.846
70,5.858
71,5.895
72,5.940
73,5.948
74,6.049
75,6.084
76,6.089
77,6.135
78,6.215
79,6.216
80,6.295
81,6.330
82,6.349
83,6.437
84,6.498
85,6.550
86,6.594
87,7.338
88,8.025
89,8.518
90,10.539
91,21.396
92,100.860
93,130.847
94,181.477
95,206.953
96,296.799
97,607.456
98,4200.696
99,58777.494
100,58777.494
