starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	3	2	4	0
Thu Apr 23 12:03:07 2026	1776925987	0	4	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	3	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	4	0
Thu Apr 23 12:03:07 2026	1776925987	2	2	4	0
Thu Apr 23 12:03:07 2026	1776925987	2	2	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	2	3	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	2	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	2	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	2	3	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	2	3	5	0
Thu Apr 23 12:03:08 2026	1776925988	3	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	2	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	2	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	2	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	3	5	0
Thu Apr 23 12:03:08 2026	1776925988	3	2	5	0
Thu Apr 23 12:03:08 2026	1776925988	3	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	2	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	2	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	2	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	2	5	0
Thu Apr 23 12:03:08 2026	1776925988	3	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	5	0
Thu Apr 23 12:03:08 2026	1776925988	2	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	2	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	5	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	2	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	6	0
Thu Apr 23 12:03:08 2026	1776925988	4	2	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	6	0
Thu Apr 23 12:03:08 2026	1776925988	3	3	6	0
Thu Apr 23 12:03:07 2026	1776925987	2	4	6	0
Thu Apr 23 12:03:08 2026	1776925988	3	3	6	0
Thu Apr 23 12:03:08 2026	1776925988	2	3	6	0
Thu Apr 23 12:03:08 2026	1776925988	3	3	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	4	6	0
Thu Apr 23 12:03:07 2026	1776925987	4	2	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	6	0
Thu Apr 23 12:03:08 2026	1776925988	4	2	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	6	0
Thu Apr 23 12:03:08 2026	1776925988	2	4	6	0
Thu Apr 23 12:03:07 2026	1776925987	4	3	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	3	6	0
Thu Apr 23 12:03:08 2026	1776925988	3	3	6	0
Thu Apr 23 12:03:07 2026	1776925987	3	4	6	0
Thu Apr 23 12:03:08 2026	1776925988	3	3	7	0
Thu Apr 23 12:03:08 2026	1776925988	3	3	7	0
Thu Apr 23 12:03:07 2026	1776925987	4	4	7	0
Thu Apr 23 12:03:07 2026	1776925987	4	4	8	0
Thu Apr 23 12:03:07 2026	1776925987	5	3	9	0
Thu Apr 23 12:03:07 2026	1776925987	3	7	11	0
Thu Apr 23 12:03:08 2026	1776925988	18	3	21	0
Thu Apr 23 12:02:03 2026	1776925923	0	101	101	100
Thu Apr 23 12:02:03 2026	1776925923	0	131	131	129
Thu Apr 23 12:02:03 2026	1776925923	0	181	181	181
Thu Apr 23 12:02:03 2026	1776925923	0	207	207	206
Thu Apr 23 12:02:03 2026	1776925923	192	104	297	104
Thu Apr 23 12:02:04 2026	1776925924	0	607	607	607
Thu Apr 23 12:02:04 2026	1776925924	0	4201	4201	4200
Thu Apr 23 12:02:08 2026	1776925928	0	58777	58777	58776
