Percentage served,Time in ms
0,4.670
1,4.787
2,4.902
3,4.956
4,5.042
5,5.104
6,5.113
7,5.123
8,5.152
9,5.170
10,5.202
11,5.221
12,5.221
13,5.305
14,5.319
15,5.329
16,5.330
17,5.355
18,5.366
19,5.419
20,5.512
21,5.518
22,5.539
23,5.637
24,5.786
25,5.789
26,5.842
27,5.886
28,5.944
29,5.944
30,5.977
31,6.010
32,6.122
33,6.130
34,6.268
35,6.292
36,6.393
37,6.494
38,6.535
39,6.557
40,6.623
41,6.694
42,6.713
43,6.838
44,6.843
45,6.931
46,7.059
47,7.167
48,7.184
49,7.198
50,7.202
51,7.243
52,7.244
53,7.278
54,7.289
55,7.313
56,7.341
57,7.405
58,7.439
59,7.464
60,7.467
61,7.514
62,7.663
63,7.691
64,7.794
65,7.855
66,8.094
67,8.115
68,8.132
69,8.258
70,8.321
71,8.412
72,8.444
73,8.446
74,8.465
75,8.522
76,8.975
77,9.387
78,9.467
79,9.588
80,9.730
81,10.004
82,10.621
83,11.530
84,20.020
85,34.596
86,204.598
87,208.482
88,209.040
89,304.788
90,307.765
91,351.388
92,408.141
93,408.373
94,408.627
95,409.423
96,409.517
97,410.692
98,44553.319
99,91006.830
100,91006.830
