starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 17:00:12 2026	1776857412	2	2	4	0
Wed Apr 22 17:00:12 2026	1776857412	2	2	4	0
Wed Apr 22 17:00:11 2026	1776857411	2	2	5	0
Wed Apr 22 17:00:12 2026	1776857412	2	3	5	0
Wed Apr 22 17:00:11 2026	1776857411	2	2	5	0
Wed Apr 22 17:00:12 2026	1776857412	3	2	5	0
Wed Apr 22 17:00:12 2026	1776857412	2	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	2	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	5	0
Wed Apr 22 17:00:11 2026	1776857411	2	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	2	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	2	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	2	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	2	3	5	0
Wed Apr 22 17:00:11 2026	1776857411	3	2	5	0
Wed Apr 22 17:00:11 2026	1776857411	3	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	2	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	2	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	5	0
Wed Apr 22 17:00:11 2026	1776857411	3	3	5	0
Wed Apr 22 17:00:11 2026	1776857411	3	3	5	0
Wed Apr 22 17:00:11 2026	1776857411	2	3	5	0
Wed Apr 22 17:00:11 2026	1776857411	2	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	5	0
Wed Apr 22 17:00:11 2026	1776857411	2	3	5	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	2	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:11 2026	1776857411	3	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	4	2	6	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:11 2026	1776857411	3	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	4	2	6	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:11 2026	1776857411	3	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	3	3	6	0
Wed Apr 22 17:00:11 2026	1776857411	4	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	4	3	6	0
Wed Apr 22 17:00:12 2026	1776857412	2	4	6	0
