Percentage served,Time in ms
0,4.238
1,4.319
2,4.415
3,4.467
4,4.478
5,4.504
6,4.554
7,4.573
8,4.634
9,4.683
10,4.688
11,4.697
12,4.714
13,4.722
14,4.725
15,4.732
16,4.734
17,4.736
18,4.751
19,4.758
20,4.760
21,4.766
22,4.781
23,4.788
24,4.797
25,4.823
26,4.832
27,4.842
28,4.850
29,4.850
30,4.852
31,4.878
32,4.908
33,4.910
34,4.911
35,4.928
36,4.952
37,4.964
38,4.985
39,4.989
40,5.016
41,5.024
42,5.045
43,5.063
44,5.068
45,5.091
46,5.108
47,5.135
48,5.140
49,5.201
50,5.210
51,5.272
52,5.297
53,5.298
54,5.301
55,5.309
56,5.315
57,5.328
58,5.329
59,5.374
60,5.376
61,5.381
62,5.383
63,5.392
64,5.414
65,5.438
66,5.465
67,5.588
68,5.665
69,5.712
70,5.717
71,5.771
72,5.775
73,5.788
74,5.794
75,5.851
76,5.854
77,6.050
78,6.145
79,6.191
80,6.338
81,6.353
82,6.454
83,6.501
84,6.638
85,6.880
86,6.883
87,6.991
88,7.069
89,7.106
90,9.398
91,9.645
92,10.969
93,11.528
94,11.778
95,28.908
96,110.201
97,115.989
98,194.042
99,105025.105
100,105025.105
