starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 17:18:52 2026	1776858532	2	2	4	0
Wed Apr 22 17:18:52 2026	1776858532	2	2	4	0
Wed Apr 22 17:18:52 2026	1776858532	2	2	4	0
Wed Apr 22 17:18:52 2026	1776858532	2	2	4	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	4	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:51 2026	1776858531	2	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:51 2026	1776858531	2	3	5	0
Wed Apr 22 17:18:51 2026	1776858531	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	3	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	3	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:51 2026	1776858531	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:51 2026	1776858531	2	3	5	0
Wed Apr 22 17:18:51 2026	1776858531	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	3	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	3	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	3	2	5	0
Wed Apr 22 17:18:51 2026	1776858531	0	5	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	3	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
Wed Apr 22 17:18:52 2026	1776858532	3	2	5	0
Wed Apr 22 17:18:52 2026	1776858532	2	3	5	0
