Percentage served,Time in ms
0,3.800
1,3.944
2,4.110
3,4.159
4,4.216
5,4.457
6,4.519
7,4.524
8,4.610
9,4.629
10,4.694
11,4.736
12,4.769
13,4.820
14,5.490
15,5.531
16,5.534
17,5.548
18,5.568
19,5.652
20,5.701
21,5.811
22,5.870
23,5.997
24,6.005
25,6.216
26,6.246
27,6.316
28,6.521
29,7.136
30,7.211
31,7.263
32,7.487
33,7.992
34,8.060
35,8.128
36,8.572
37,8.593
38,8.807
39,8.897
40,8.902
41,8.985
42,9.241
43,9.506
44,9.510
45,9.991
46,10.035
47,10.387
48,10.400
49,10.668
50,10.726
51,10.790
52,10.902
53,10.927
54,11.432
55,11.528
56,11.737
57,12.153
58,12.427
59,12.497
60,12.563
61,13.484
62,13.849
63,14.200
64,14.261
65,15.106
66,15.296
67,15.311
68,15.312
69,15.773
70,16.165
71,16.697
72,16.793
73,17.703
74,17.975
75,18.051
76,18.077
77,18.695
78,18.937
79,19.349
80,21.282
81,21.813
82,22.487
83,22.638
84,27.106
85,178.020
86,210.573
87,213.851
88,278.027
89,306.876
90,307.139
91,354.638
92,361.893
93,409.287
94,409.342
95,409.400
96,409.431
97,409.490
98,409.492
99,120460.969
100,120460.969
