starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	4	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	3	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	3	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	3	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	3	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	3	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	5	0
Thu Apr 23 14:59:05 2026	1776936545	4	2	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	3	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	5	0
Thu Apr 23 14:59:05 2026	1776936545	2	3	5	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	2	6	0
Thu Apr 23 14:59:05 2026	1776936545	2	4	6	0
Thu Apr 23 14:59:05 2026	1776936545	4	2	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	2	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	2	4	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	4	2	6	0
Thu Apr 23 14:59:05 2026	1776936545	2	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	4	2	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	4	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	4	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	4	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	4	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	4	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	6	0
Thu Apr 23 14:59:05 2026	1776936545	4	2	6	0
Thu Apr 23 14:59:05 2026	1776936545	2	4	6	0
Thu Apr 23 14:59:05 2026	1776936545	3	4	6	0
Thu Apr 23 14:59:05 2026	1776936545	4	3	7	0
Thu Apr 23 14:59:05 2026	1776936545	3	3	7	0
Thu Apr 23 14:59:05 2026	1776936545	4	3	7	0
Thu Apr 23 14:59:05 2026	1776936545	3	4	7	0
Thu Apr 23 14:59:05 2026	1776936545	4	3	7	0
Thu Apr 23 14:59:05 2026	1776936545	3	4	7	0
Thu Apr 23 14:59:05 2026	1776936545	4	3	7	0
Thu Apr 23 14:59:05 2026	1776936545	4	3	7	0
Thu Apr 23 14:59:05 2026	1776936545	5	3	7	0
Thu Apr 23 14:59:05 2026	1776936545	4	4	8	0
Thu Apr 23 14:59:05 2026	1776936545	3	4	8	0
Thu Apr 23 14:59:05 2026	1776936545	4	4	8	0
Thu Apr 23 14:59:05 2026	1776936545	3	5	8	0
Thu Apr 23 14:59:04 2026	1776936544	205	3	207	0
Thu Apr 23 14:59:04 2026	1776936544	204	205	409	0
Thu Apr 23 14:57:03 2026	1776936423	107	121450	121557	121450
