Percentage served,Time in ms
0,3.378
1,3.597
2,3.666
3,3.678
4,3.683
5,3.685
6,3.756
7,3.774
8,3.797
9,3.808
10,3.849
11,3.849
12,3.884
13,3.930
14,3.959
15,3.973
16,4.019
17,4.036
18,4.116
19,4.129
20,4.163
21,4.164
22,4.168
23,4.201
24,4.206
25,4.231
26,4.246
27,4.249
28,4.279
29,4.334
30,4.335
31,4.339
32,4.358
33,4.399
34,4.414
35,4.415
36,4.450
37,4.456
38,4.465
39,4.466
40,4.480
41,4.483
42,4.510
43,4.512
44,4.519
45,4.529
46,4.529
47,4.578
48,4.582
49,4.585
50,4.594
51,4.616
52,4.649
53,4.678
54,4.688
55,4.701
56,4.721
57,4.741
58,4.768
59,4.773
60,4.791
61,4.805
62,4.833
63,4.835
64,4.861
65,4.905
66,4.920
67,4.939
68,4.947
69,4.955
70,4.984
71,5.008
72,5.075
73,5.172
74,5.173
75,5.200
76,5.226
77,5.245
78,5.300
79,5.361
80,5.373
81,5.387
82,5.419
83,5.642
84,5.860
85,5.921
86,6.075
87,6.106
88,6.429
89,6.863
90,6.978
91,7.043
92,8.657
93,8.949
94,9.707
95,104.888
96,308.193
97,408.921
98,409.512
99,120253.406
100,120253.406
