starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 15:03:04 2026	1776936784	2	2	3	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	4	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	4	5	0
Thu Apr 23 15:03:04 2026	1776936784	2	3	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	2	5	0
Thu Apr 23 15:03:04 2026	1776936784	3	3	6	0
Thu Apr 23 15:03:04 2026	1776936784	4	2	6	0
Thu Apr 23 15:03:04 2026	1776936784	2	4	6	0
Thu Apr 23 15:03:04 2026	1776936784	4	2	6	0
Thu Apr 23 15:03:04 2026	1776936784	3	3	6	0
Thu Apr 23 15:03:04 2026	1776936784	2	4	6	0
Thu Apr 23 15:03:04 2026	1776936784	3	4	7	0
Thu Apr 23 15:03:04 2026	1776936784	3	4	7	0
Thu Apr 23 15:03:04 2026	1776936784	4	3	7	0
Thu Apr 23 15:03:04 2026	1776936784	4	5	9	0
Thu Apr 23 15:03:04 2026	1776936784	6	3	9	0
Thu Apr 23 15:03:04 2026	1776936784	6	4	10	0
Thu Apr 23 15:03:04 2026	1776936784	102	3	105	0
Thu Apr 23 15:03:04 2026	1776936784	204	104	308	0
Thu Apr 23 15:03:03 2026	1776936783	205	204	409	0
Thu Apr 23 15:03:03 2026	1776936783	205	205	410	0
Thu Apr 23 15:01:03 2026	1776936663	123	120130	120253	120130
