starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	3	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	3	2	4	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	5	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	5	0
Thu Apr 23 17:03:44 2026	1776944024	3	2	5	0
Thu Apr 23 17:03:44 2026	1776944024	2	3	5	0
Thu Apr 23 17:03:44 2026	1776944024	3	2	5	0
Thu Apr 23 17:03:44 2026	1776944024	2	3	5	0
Thu Apr 23 17:03:44 2026	1776944024	2	2	5	0
Thu Apr 23 17:03:44 2026	1776944024	3	2	5	0
Thu Apr 23 17:03:44 2026	1776944024	2	3	5	0
Thu Apr 23 17:03:44 2026	1776944024	2	3	5	0
Thu Apr 23 17:03:44 2026	1776944024	3	2	5	0
Thu Apr 23 17:03:44 2026	1776944024	2	3	5	0
Thu Apr 23 17:03:44 2026	1776944024	3	3	5	0
Thu Apr 23 17:03:44 2026	1776944024	3	3	5	0
Thu Apr 23 17:03:44 2026	1776944024	2	3	6	0
Thu Apr 23 17:03:44 2026	1776944024	3	2	6	0
Thu Apr 23 17:03:44 2026	1776944024	3	3	6	0
Thu Apr 23 17:03:44 2026	1776944024	3	3	6	0
Thu Apr 23 17:03:44 2026	1776944024	3	2	6	0
Thu Apr 23 17:03:44 2026	1776944024	4	2	6	0
Thu Apr 23 17:03:44 2026	1776944024	4	2	6	0
Thu Apr 23 17:03:44 2026	1776944024	3	3	6	0
Thu Apr 23 17:03:44 2026	1776944024	4	2	6	0
Thu Apr 23 17:03:44 2026	1776944024	3	3	6	0
Thu Apr 23 17:03:44 2026	1776944024	4	2	6	0
Thu Apr 23 17:03:44 2026	1776944024	3	3	6	0
Thu Apr 23 17:03:44 2026	1776944024	5	2	7	0
Thu Apr 23 17:03:44 2026	1776944024	2	5	7	0
Thu Apr 23 17:03:43 2026	1776944023	3	4	7	0
Thu Apr 23 17:03:44 2026	1776944024	5	2	7	0
Thu Apr 23 17:03:44 2026	1776944024	3	4	7	0
Thu Apr 23 17:03:44 2026	1776944024	4	2	7	0
Thu Apr 23 17:03:44 2026	1776944024	4	3	7	0
Thu Apr 23 17:03:44 2026	1776944024	3	4	7	0
Thu Apr 23 17:03:44 2026	1776944024	5	2	7	0
Thu Apr 23 17:03:44 2026	1776944024	5	2	7	0
Thu Apr 23 17:03:43 2026	1776944023	4	3	7	0
