starttime,seconds,ctime,dtime,ttime,wait
Thu Apr 23 16:56:15 2026,1776943575,2,2,3,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,3,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,3,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,3,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,4,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,5,0
Thu Apr 23 16:56:15 2026,1776943575,3,2,5,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,5,0
Thu Apr 23 16:56:15 2026,1776943575,2,2,5,0
Thu Apr 23 16:56:15 2026,1776943575,2,3,5,0
Thu Apr 23 16:56:15 2026,1776943575,2,3,5,0
Thu Apr 23 16:56:15 2026,1776943575,2,3,5,0
Thu Apr 23 16:56:15 2026,1776943575,2,3,5,0
Thu Apr 23 16:56:15 2026,1776943575,3,2,5,0
Thu Apr 23 16:56:15 2026,1776943575,2,3,5,0
Thu Apr 23 16:56:15 2026,1776943575,3,2,5,0
Thu Apr 23 16:56:15 2026,1776943575,3,2,5,0
Thu Apr 23 16:56:15 2026,1776943575,3,2,5,0
Thu Apr 23 16:56:15 2026,1776943575,3,2,6,0
Thu Apr 23 16:56:15 2026,1776943575,4,2,6,0
Thu Apr 23 16:56:15 2026,1776943575,4,2,6,0
Thu Apr 23 16:56:15 2026,1776943575,4,2,6,0
Thu Apr 23 16:56:15 2026,1776943575,4,2,6,0
Thu Apr 23 16:56:15 2026,1776943575,4,2,6,0
Thu Apr 23 16:56:15 2026,1776943575,3,3,6,0
Thu Apr 23 16:56:15 2026,1776943575,2,4,6,0
Thu Apr 23 16:56:15 2026,1776943575,4,2,6,0
Thu Apr 23 16:56:15 2026,1776943575,3,3,7,0
Thu Apr 23 16:56:15 2026,1776943575,2,5,7,0
Thu Apr 23 16:56:15 2026,1776943575,2,5,7,0
Thu Apr 23 16:56:15 2026,1776943575,3,4,7,0
Thu Apr 23 16:56:15 2026,1776943575,3,4,7,0
Thu Apr 23 16:56:15 2026,1776943575,5,2,7,0
Thu Apr 23 16:56:15 2026,1776943575,2,5,7,0
Thu Apr 23 16:56:15 2026,1776943575,4,4,7,0
Thu Apr 23 16:56:15 2026,1776943575,5,2,7,0
Thu Apr 23 16:56:15 2026,1776943575,2,6,8,0
Thu Apr 23 16:56:15 2026,1776943575,7,2,9,0
Thu Apr 23 16:56:15 2026,1776943575,6,3,9,0
Thu Apr 23 16:56:07 2026,1776943567,0,11,11,0
Thu Apr 23 16:56:15 2026,1776943575,6,7,13,0
Thu Apr 23 16:55:03 2026,1776943503,0,91,91,90
Thu Apr 23 16:55:26 2026,1776943526,0,104,104,0
Thu Apr 23 16:56:05 2026,1776943565,0,204,204,0
Thu Apr 23 16:55:42 2026,1776943542,0,205,205,0
Thu Apr 23 16:56:13 2026,1776943573,0,205,205,0
Thu Apr 23 16:55:05 2026,1776943505,0,205,205,0
Thu Apr 23 16:55:03 2026,1776943503,0,216,216,216
Thu Apr 23 16:55:03 2026,1776943503,0,308,308,307
Thu Apr 23 16:56:15 2026,1776943575,205,104,309,0
Thu Apr 23 16:56:14 2026,1776943574,204,204,408,0
Thu Apr 23 16:55:04 2026,1776943504,0,409,409,408
Thu Apr 23 16:56:13 2026,1776943573,205,205,409,0
Thu Apr 23 16:56:14 2026,1776943574,205,205,409,0
Thu Apr 23 16:56:13 2026,1776943573,204,205,409,0
Thu Apr 23 16:55:03 2026,1776943503,181,410,591,410
Thu Apr 23 16:55:28 2026,1776943528,0,626,626,625
Thu Apr 23 16:55:37 2026,1776943537,0,717,717,716
Thu Apr 23 16:55:29 2026,1776943529,0,911,911,911
Thu Apr 23 16:55:04 2026,1776943504,0,1229,1229,1228
Thu Apr 23 16:55:41 2026,1776943541,0,1278,1278,1278
Thu Apr 23 16:55:38 2026,1776943538,0,1434,1434,1433
Thu Apr 23 16:55:39 2026,1776943539,0,1794,1794,1793
Thu Apr 23 16:55:06 2026,1776943506,102,1843,1945,1843
Thu Apr 23 16:56:05 2026,1776943565,9,1944,1953,1944
Thu Apr 23 16:55:26 2026,1776943526,101,2150,2251,2150
Thu Apr 23 16:55:08 2026,1776943508,0,2764,2764,2764
Thu Apr 23 16:55:10 2026,1776943510,0,4733,4733,4733
