starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 17:01:10 2026	1776943870	2	1	4	0
Thu Apr 23 17:01:10 2026	1776943870	2	2	4	0
Thu Apr 23 17:01:10 2026	1776943870	2	2	4	0
Thu Apr 23 17:01:10 2026	1776943870	2	2	4	0
Thu Apr 23 17:01:10 2026	1776943870	2	2	4	0
Thu Apr 23 17:01:10 2026	1776943870	2	2	4	0
Thu Apr 23 17:01:10 2026	1776943870	2	2	4	0
Thu Apr 23 17:01:10 2026	1776943870	2	2	4	0
Thu Apr 23 17:01:10 2026	1776943870	3	2	5	0
Thu Apr 23 17:01:10 2026	1776943870	2	2	5	0
Thu Apr 23 17:01:10 2026	1776943870	2	2	5	0
Thu Apr 23 17:01:10 2026	1776943870	2	2	5	0
Thu Apr 23 17:01:10 2026	1776943870	2	3	5	0
Thu Apr 23 17:01:10 2026	1776943870	3	2	5	0
Thu Apr 23 17:01:10 2026	1776943870	3	3	5	0
Thu Apr 23 17:01:10 2026	1776943870	3	2	5	0
Thu Apr 23 17:01:10 2026	1776943870	2	4	6	0
Thu Apr 23 17:01:10 2026	1776943870	3	3	6	0
Thu Apr 23 17:01:10 2026	1776943870	2	3	6	0
Thu Apr 23 17:01:10 2026	1776943870	4	2	6	0
Thu Apr 23 17:01:10 2026	1776943870	3	3	6	0
Thu Apr 23 17:01:10 2026	1776943870	4	2	6	0
Thu Apr 23 17:01:10 2026	1776943870	2	4	6	0
Thu Apr 23 17:01:10 2026	1776943870	2	5	6	0
Thu Apr 23 17:01:10 2026	1776943870	3	3	6	0
Thu Apr 23 17:01:10 2026	1776943870	4	3	7	0
Thu Apr 23 17:01:10 2026	1776943870	2	4	7	0
Thu Apr 23 17:01:10 2026	1776943870	3	4	7	0
Thu Apr 23 17:01:10 2026	1776943870	4	3	7	0
Thu Apr 23 17:01:10 2026	1776943870	4	3	7	0
Thu Apr 23 17:01:10 2026	1776943870	5	2	7	0
Thu Apr 23 17:01:10 2026	1776943870	3	4	7	0
Thu Apr 23 17:01:10 2026	1776943870	4	3	7	0
Thu Apr 23 17:01:10 2026	1776943870	2	5	7	0
Thu Apr 23 17:01:10 2026	1776943870	5	2	7	0
Thu Apr 23 17:01:10 2026	1776943870	6	2	8	0
Thu Apr 23 17:01:10 2026	1776943870	3	5	8	0
Thu Apr 23 17:01:10 2026	1776943870	4	4	8	0
Thu Apr 23 17:01:10 2026	1776943870	6	2	8	0
Thu Apr 23 17:01:10 2026	1776943870	4	3	8	0
Thu Apr 23 17:01:10 2026	1776943870	4	4	8	0
Thu Apr 23 17:01:10 2026	1776943870	3	5	8	0
Thu Apr 23 17:01:10 2026	1776943870	4	4	8	0
Thu Apr 23 17:01:10 2026	1776943870	4	4	8	0
Thu Apr 23 17:01:10 2026	1776943870	6	2	8	0
Thu Apr 23 17:01:10 2026	1776943870	6	2	8	0
Thu Apr 23 17:01:10 2026	1776943870	5	3	8	0
Thu Apr 23 17:01:10 2026	1776943870	5	4	8	0
Thu Apr 23 17:01:10 2026	1776943870	2	6	8	0
Thu Apr 23 17:01:10 2026	1776943870	2	6	8	0
Thu Apr 23 17:01:10 2026	1776943870	5	3	8	0
Thu Apr 23 17:01:10 2026	1776943870	6	3	8	0
Thu Apr 23 17:01:10 2026	1776943870	5	3	8	0
Thu Apr 23 17:01:10 2026	1776943870	3	6	8	0
Thu Apr 23 17:01:10 2026	1776943870	6	3	8	0
Thu Apr 23 17:01:10 2026	1776943870	4	4	9	0
Thu Apr 23 17:01:10 2026	1776943870	5	4	9	0
Thu Apr 23 17:01:10 2026	1776943870	2	7	9	0
Thu Apr 23 17:01:10 2026	1776943870	6	3	9	0
Thu Apr 23 17:01:10 2026	1776943870	6	2	9	0
Thu Apr 23 17:01:10 2026	1776943870	3	6	9	0
Thu Apr 23 17:01:10 2026	1776943870	4	5	9	0
Thu Apr 23 17:01:10 2026	1776943870	6	3	9	0
Thu Apr 23 17:01:10 2026	1776943870	5	4	9	0
Thu Apr 23 17:01:10 2026	1776943870	6	3	9	0
Thu Apr 23 17:01:10 2026	1776943870	4	5	9	0
Thu Apr 23 17:01:10 2026	1776943870	5	4	9	0
Thu Apr 23 17:01:10 2026	1776943870	4	5	9	0
Thu Apr 23 17:01:10 2026	1776943870	4	5	9	0
Thu Apr 23 17:01:10 2026	1776943870	5	4	9	0
Thu Apr 23 17:01:10 2026	1776943870	4	6	10	0
Thu Apr 23 17:01:10 2026	1776943870	5	5	10	0
Thu Apr 23 17:01:10 2026	1776943870	5	5	10	0
Thu Apr 23 17:01:10 2026	1776943870	5	5	10	0
Thu Apr 23 17:01:10 2026	1776943870	5	5	10	0
Thu Apr 23 17:01:10 2026	1776943870	6	5	10	0
Thu Apr 23 17:01:10 2026	1776943870	5	5	10	0
Thu Apr 23 17:01:10 2026	1776943870	4	7	11	0
Thu Apr 23 17:01:10 2026	1776943870	6	5	11	0
Thu Apr 23 17:01:10 2026	1776943870	6	5	11	0
Thu Apr 23 17:01:10 2026	1776943870	6	5	11	0
Thu Apr 23 17:01:10 2026	1776943870	6	5	11	0
Thu Apr 23 17:01:10 2026	1776943870	7	4	11	0
Thu Apr 23 17:01:10 2026	1776943870	6	6	12	0
Thu Apr 23 17:01:10 2026	1776943870	6	6	12	0
Thu Apr 23 17:01:10 2026	1776943870	6	6	12	0
Thu Apr 23 17:01:10 2026	1776943870	5	7	12	0
Thu Apr 23 17:01:10 2026	1776943870	6	7	13	0
Thu Apr 23 17:01:10 2026	1776943870	10	3	13	0
Thu Apr 23 17:01:10 2026	1776943870	6	8	13	0
Thu Apr 23 17:00:04 2026	1776943804	0	65	65	0
Thu Apr 23 17:01:09 2026	1776943869	49	54	103	0
Thu Apr 23 17:00:03 2026	1776943803	0	205	205	204
Thu Apr 23 17:01:09 2026	1776943869	0	205	205	0
Thu Apr 23 17:00:04 2026	1776943804	0	243	243	242
Thu Apr 23 17:00:04 2026	1776943804	0	299	299	299
Thu Apr 23 17:00:03 2026	1776943803	0	315	315	315
Thu Apr 23 17:01:09 2026	1776943869	204	205	408	0
Thu Apr 23 17:00:03 2026	1776943803	184	308	492	307
Thu Apr 23 17:00:04 2026	1776943804	205	64508	64713	64508
