Percentage served,Time in ms
0,3.560
1,3.973
2,4.015
3,4.023
4,4.173
5,4.222
6,4.318
7,4.433
8,4.502
9,4.521
10,4.537
11,4.840
12,4.887
13,4.911
14,5.139
15,5.499
16,5.553
17,5.769
18,5.843
19,5.892
20,6.048
21,6.070
22,6.149
23,6.299
24,6.329
25,6.568
26,6.615
27,6.701
28,6.722
29,6.824
30,6.972
31,7.236
32,7.249
33,7.358
34,7.393
35,7.504
36,7.570
37,7.631
38,7.636
39,7.659
40,7.827
41,7.886
42,7.989
43,7.990
44,8.037
45,8.088
46,8.209
47,8.220
48,8.220
49,8.222
50,8.262
51,8.273
52,8.300
53,8.305
54,8.443
55,8.504
56,8.544
57,8.561
58,8.578
59,8.587
60,8.671
61,8.733
62,8.879
63,8.908
64,9.030
65,9.116
66,9.262
67,9.274
68,9.300
69,9.407
70,9.883
71,9.898
72,9.994
73,10.035
74,10.271
75,10.424
76,10.458
77,10.533
78,10.536
79,10.890
80,10.896
81,10.927
82,10.980
83,11.558
84,11.950
85,12.016
86,12.208
87,12.537
88,12.579
89,13.439
90,64.795
91,102.605
92,204.533
93,205.273
94,242.598
95,298.695
96,314.892
97,408.484
98,491.983
99,64712.782
100,64712.782
