Percentage served,Time in ms
0,2.601
1,3.562
2,3.570
3,3.642
4,3.651
5,3.667
6,3.683
7,3.684
8,3.699
9,3.706
10,3.739
11,3.781
12,3.792
13,3.808
14,3.810
15,3.812
16,3.829
17,3.843
18,3.848
19,3.849
20,3.849
21,3.878
22,3.880
23,3.888
24,3.890
25,3.893
26,3.909
27,3.923
28,3.931
29,3.932
30,3.939
31,3.955
32,3.997
33,4.004
34,4.039
35,4.053
36,4.060
37,4.070
38,4.084
39,4.087
40,4.093
41,4.100
42,4.102
43,4.108
44,4.136
45,4.152
46,4.167
47,4.168
48,4.172
49,4.224
50,4.238
51,4.249
52,4.267
53,4.292
54,4.295
55,4.330
56,4.370
57,4.401
58,4.404
59,4.513
60,4.527
61,4.539
62,4.553
63,4.569
64,4.619
65,4.676
66,4.692
67,4.716
68,4.734
69,4.780
70,4.802
71,4.811
72,4.811
73,4.830
74,4.975
75,5.002
76,5.013
77,5.057
78,5.086
79,5.110
80,5.159
81,5.182
82,5.289
83,5.331
84,5.463
85,5.712
86,5.779
87,7.714
88,7.867
89,67.417
90,76.389
91,91.306
92,162.348
93,204.523
94,204.780
95,269.012
96,520.246
97,956.278
98,25784.856
99,30088.860
100,30088.860
