secs,ttime
72,3
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,4
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
72,6
72,6
72,8
72,8
46,67
46,76
45,91
46,162
14,205
14,205
46,269
14,520
14,956
46,25785
15,30089
