starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:24:07 2026	1776923647	2	2	4	0
Thu Apr 23 11:24:07 2026	1776923647	2	2	4	0
Thu Apr 23 11:24:06 2026	1776923646	0	4	4	4
Thu Apr 23 11:24:06 2026	1776923646	0	4	4	3
Thu Apr 23 11:24:07 2026	1776923647	2	2	4	0
Thu Apr 23 11:24:07 2026	1776923647	2	2	4	0
Thu Apr 23 11:24:05 2026	1776923645	0	4	4	4
Thu Apr 23 11:24:07 2026	1776923647	3	2	5	0
Thu Apr 23 11:24:05 2026	1776923645	0	5	5	3
Thu Apr 23 11:24:06 2026	1776923646	0	5	5	4
Thu Apr 23 11:24:07 2026	1776923647	2	3	5	0
Thu Apr 23 11:24:06 2026	1776923646	0	5	5	4
Thu Apr 23 11:24:07 2026	1776923647	3	2	5	0
Thu Apr 23 11:24:07 2026	1776923647	2	3	5	0
Thu Apr 23 11:24:07 2026	1776923647	3	2	5	0
Thu Apr 23 11:24:07 2026	1776923647	3	2	5	0
Thu Apr 23 11:24:05 2026	1776923645	0	5	5	4
Thu Apr 23 11:24:07 2026	1776923647	2	3	5	0
Thu Apr 23 11:24:07 2026	1776923647	2	3	5	0
Thu Apr 23 11:24:07 2026	1776923647	2	4	5	0
Thu Apr 23 11:24:07 2026	1776923647	0	5	5	0
Thu Apr 23 11:24:07 2026	1776923647	3	2	6	0
Thu Apr 23 11:24:06 2026	1776923646	0	6	6	5
Thu Apr 23 11:24:07 2026	1776923647	3	3	6	0
Thu Apr 23 11:24:07 2026	1776923647	3	3	6	0
Thu Apr 23 11:24:07 2026	1776923647	3	3	6	0
Thu Apr 23 11:24:06 2026	1776923646	0	6	6	5
Thu Apr 23 11:24:06 2026	1776923646	0	6	6	5
Thu Apr 23 11:24:07 2026	1776923647	2	4	6	0
Thu Apr 23 11:24:06 2026	1776923646	0	6	6	6
Thu Apr 23 11:24:07 2026	1776923647	4	2	6	0
Thu Apr 23 11:24:07 2026	1776923647	3	3	6	0
Thu Apr 23 11:24:06 2026	1776923646	0	6	6	6
Thu Apr 23 11:24:07 2026	1776923647	3	3	6	0
Thu Apr 23 11:24:05 2026	1776923645	0	6	6	5
Thu Apr 23 11:24:07 2026	1776923647	3	3	6	0
Thu Apr 23 11:24:07 2026	1776923647	3	3	6	0
Thu Apr 23 11:24:07 2026	1776923647	3	3	6	0
Thu Apr 23 11:24:07 2026	1776923647	3	4	6	0
Thu Apr 23 11:24:05 2026	1776923645	0	6	6	5
Thu Apr 23 11:24:05 2026	1776923645	0	7	7	5
Thu Apr 23 11:24:06 2026	1776923646	0	7	7	6
Thu Apr 23 11:24:07 2026	1776923647	4	2	7	0
Thu Apr 23 11:24:07 2026	1776923647	4	3	7	0
Thu Apr 23 11:24:07 2026	1776923647	4	2	7	0
Thu Apr 23 11:24:07 2026	1776923647	5	2	7	0
Thu Apr 23 11:24:07 2026	1776923647	3	4	7	0
Thu Apr 23 11:24:07 2026	1776923647	4	3	7	0
Thu Apr 23 11:24:07 2026	1776923647	2	5	7	0
Thu Apr 23 11:24:07 2026	1776923647	3	4	7	0
Thu Apr 23 11:24:07 2026	1776923647	3	4	7	0
Thu Apr 23 11:24:04 2026	1776923644	0	7	7	7
Thu Apr 23 11:24:06 2026	1776923646	0	8	8	7
Thu Apr 23 11:24:07 2026	1776923647	6	2	8	0
Thu Apr 23 11:24:07 2026	1776923647	3	5	8	0
Thu Apr 23 11:24:07 2026	1776923647	5	3	8	0
Thu Apr 23 11:24:07 2026	1776923647	4	4	8	0
Thu Apr 23 11:24:05 2026	1776923645	0	8	8	7
Thu Apr 23 11:24:07 2026	1776923647	6	3	8	0
Thu Apr 23 11:24:06 2026	1776923646	0	8	8	8
Thu Apr 23 11:24:06 2026	1776923646	0	8	8	8
Thu Apr 23 11:24:07 2026	1776923647	5	3	9	0
Thu Apr 23 11:24:07 2026	1776923647	5	4	9	0
Thu Apr 23 11:24:05 2026	1776923645	0	9	9	8
Thu Apr 23 11:24:06 2026	1776923646	0	9	9	9
Thu Apr 23 11:24:05 2026	1776923645	0	10	10	9
Thu Apr 23 11:24:07 2026	1776923647	8	4	11	0
Thu Apr 23 11:24:07 2026	1776923647	6	6	11	0
Thu Apr 23 11:24:06 2026	1776923646	0	12	12	11
Thu Apr 23 11:24:05 2026	1776923645	0	12	12	11
Thu Apr 23 11:24:07 2026	1776923647	6	7	13	0
Thu Apr 23 11:24:06 2026	1776923646	0	13	13	12
Thu Apr 23 11:24:03 2026	1776923643	8	5	14	5
Thu Apr 23 11:24:06 2026	1776923646	0	14	14	12
Thu Apr 23 11:24:07 2026	1776923647	8	6	14	0
Thu Apr 23 11:24:07 2026	1776923647	7	7	14	0
Thu Apr 23 11:24:06 2026	1776923646	0	16	16	15
Thu Apr 23 11:24:07 2026	1776923647	11	7	18	0
Thu Apr 23 11:24:07 2026	1776923647	13	5	18	0
Thu Apr 23 11:24:07 2026	1776923647	4	16	20	0
