Percentage served,Time in ms
0,2.911
1,3.624
2,3.667
3,3.720
4,3.726
5,3.803
6,3.827
7,3.832
8,3.850
9,3.890
10,3.921
11,3.924
12,3.974
13,3.994
14,3.998
15,4.007
16,4.034
17,4.078
18,4.129
19,4.221
20,4.290
21,4.295
22,4.387
23,4.400
24,4.419
25,4.433
26,4.447
27,4.456
28,4.459
29,4.461
30,4.510
31,4.511
32,4.561
33,4.601
34,4.604
35,4.627
36,4.644
37,4.660
38,4.669
39,4.669
40,4.674
41,4.683
42,4.727
43,4.782
44,4.839
45,4.876
46,4.880
47,4.888
48,4.907
49,4.912
50,4.926
51,4.926
52,4.962
53,4.997
54,5.022
55,5.042
56,5.056
57,5.058
58,5.090
59,5.118
60,5.129
61,5.149
62,5.168
63,5.191
64,5.244
65,5.307
66,5.317
67,5.360
68,5.387
69,5.410
70,5.416
71,5.543
72,5.605
73,5.819
74,6.178
75,6.210
76,6.258
77,6.293
78,6.362
79,6.363
80,6.433
81,6.616
82,7.000
83,7.037
84,7.196
85,7.549
86,7.806
87,8.194
88,8.632
89,9.042
90,9.678
91,10.210
92,10.241
93,10.734
94,13.281
95,14.532
96,102.680
97,204.553
98,409.980
99,461.804
100,461.804
