Percentage served,Time in ms
0,3.715
1,3.959
2,4.022
3,4.253
4,4.297
5,4.347
6,4.357
7,4.377
8,4.563
9,4.777
10,4.798
11,4.844
12,4.893
13,4.956
14,5.007
15,5.045
16,5.051
17,5.130
18,5.145
19,5.318
20,5.345
21,5.418
22,5.482
23,5.650
24,5.657
25,5.719
26,6.047
27,6.090
28,6.219
29,6.338
30,6.356
31,6.380
32,6.529
33,6.900
34,6.968
35,7.068
36,7.362
37,7.507
38,7.509
39,7.692
40,8.132
41,8.453
42,8.573
43,9.306
44,10.447
45,46.547
46,48.617
47,52.877
48,54.213
49,56.117
50,56.536
51,57.076
52,59.415
53,67.496
54,74.286
55,76.937
56,77.282
57,94.927
58,96.242
59,101.437
60,101.496
61,101.921
62,101.981
63,102.103
64,102.135
65,102.135
66,102.333
67,102.362
68,102.451
69,102.464
70,102.529
71,102.539
72,102.818
73,102.910
74,102.944
75,103.128
76,103.306
77,103.434
78,103.526
79,113.370
80,122.768
81,138.881
82,149.273
83,173.662
84,187.236
85,187.668
86,204.057
87,209.792
88,211.488
89,221.992
90,235.000
91,307.641
92,782.845
93,806.162
94,991.023
95,1272.770
96,2667.928
97,5420.295
98,5700.147
99,85168.098
100,85168.098
