starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:27:53 2026	1776923873	2	2	4	0
Thu Apr 23 11:27:53 2026	1776923873	2	2	4	0
Thu Apr 23 11:27:53 2026	1776923873	2	2	4	0
Thu Apr 23 11:27:53 2026	1776923873	2	2	4	0
Thu Apr 23 11:27:53 2026	1776923873	2	2	4	0
Thu Apr 23 11:27:53 2026	1776923873	2	2	4	0
Thu Apr 23 11:27:53 2026	1776923873	2	2	4	0
Thu Apr 23 11:27:53 2026	1776923873	2	2	4	0
Thu Apr 23 11:27:53 2026	1776923873	2	2	5	0
Thu Apr 23 11:27:53 2026	1776923873	2	3	5	0
Thu Apr 23 11:27:53 2026	1776923873	2	2	5	0
Thu Apr 23 11:27:53 2026	1776923873	2	2	5	0
Thu Apr 23 11:27:53 2026	1776923873	2	3	5	0
Thu Apr 23 11:27:53 2026	1776923873	2	3	5	0
Thu Apr 23 11:27:53 2026	1776923873	2	3	5	0
Thu Apr 23 11:27:53 2026	1776923873	3	3	5	0
Thu Apr 23 11:27:53 2026	1776923873	2	3	5	0
Thu Apr 23 11:27:53 2026	1776923873	3	2	5	0
Thu Apr 23 11:27:53 2026	1776923873	3	2	5	0
Thu Apr 23 11:27:53 2026	1776923873	3	2	5	0
Thu Apr 23 11:27:53 2026	1776923873	3	3	5	0
Thu Apr 23 11:27:53 2026	1776923873	3	2	5	0
Thu Apr 23 11:27:53 2026	1776923873	2	3	5	0
Thu Apr 23 11:27:53 2026	1776923873	0	6	6	0
Thu Apr 23 11:27:53 2026	1776923873	3	3	6	0
Thu Apr 23 11:27:53 2026	1776923873	3	3	6	0
Thu Apr 23 11:27:53 2026	1776923873	3	3	6	0
Thu Apr 23 11:27:53 2026	1776923873	3	3	6	0
Thu Apr 23 11:27:53 2026	1776923873	3	3	6	0
Thu Apr 23 11:27:53 2026	1776923873	3	4	6	0
Thu Apr 23 11:27:53 2026	1776923873	2	4	6	0
Thu Apr 23 11:27:53 2026	1776923873	3	4	6	0
Thu Apr 23 11:27:53 2026	1776923873	2	4	7	0
Thu Apr 23 11:27:53 2026	1776923873	4	2	7	0
Thu Apr 23 11:27:53 2026	1776923873	3	4	7	0
