Percentage served,Time in ms
0,3.599
1,3.649
2,3.865
3,3.876
4,3.972
5,3.975
6,3.983
7,4.040
8,4.177
9,4.206
10,4.245
11,4.265
12,4.319
13,4.324
14,4.335
15,4.338
16,4.346
17,4.373
18,4.424
19,4.439
20,4.465
21,4.474
22,4.474
23,4.510
24,4.629
25,4.699
26,4.718
27,4.724
28,4.743
29,4.866
30,4.901
31,4.976
32,5.023
33,5.031
34,5.053
35,5.250
36,5.474
37,5.477
38,5.655
39,5.721
40,5.815
41,5.983
42,6.089
43,6.257
44,6.259
45,6.328
46,6.782
47,7.693
48,8.319
49,9.074
50,11.622
51,11.973
52,12.215
53,12.516
54,12.779
55,12.915
56,13.222
57,14.226
58,14.940
59,15.143
60,15.265
61,16.365
62,16.497
63,81.284
64,86.099
65,87.291
66,88.000
67,90.161
68,90.181
69,90.938
70,101.597
71,101.906
72,101.923
73,101.974
74,102.034
75,102.095
76,102.180
77,102.232
78,102.306
79,102.400
80,102.552
81,102.743
82,102.755
83,102.760
84,103.108
85,103.599
86,111.068
87,124.574
88,293.776
89,301.874
90,306.805
91,307.208
92,320.145
93,362.528
94,408.612
95,408.744
96,409.587
97,410.778
98,530.296
99,22677.266
100,22677.266
