starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	0	4	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	3	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	4	0
Thu Apr 23 11:00:34 2026	1776922234	2	3	5	0
Thu Apr 23 11:00:34 2026	1776922234	3	2	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	3	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	2	5	0
Thu Apr 23 11:00:34 2026	1776922234	3	2	5	0
Thu Apr 23 11:00:34 2026	1776922234	3	2	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	3	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	3	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	3	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	3	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	3	5	0
Thu Apr 23 11:00:34 2026	1776922234	3	2	5	0
Thu Apr 23 11:00:34 2026	1776922234	2	3	6	0
Thu Apr 23 11:00:34 2026	1776922234	3	3	6	0
Thu Apr 23 11:00:34 2026	1776922234	3	3	6	0
Thu Apr 23 11:00:34 2026	1776922234	4	2	6	0
Thu Apr 23 11:00:34 2026	1776922234	2	4	6	0
Thu Apr 23 11:00:34 2026	1776922234	3	3	6	0
Thu Apr 23 11:00:34 2026	1776922234	3	4	6	0
Thu Apr 23 11:00:34 2026	1776922234	2	4	6	0
Thu Apr 23 11:00:34 2026	1776922234	5	2	7	0
Thu Apr 23 11:00:34 2026	1776922234	5	3	8	0
Thu Apr 23 11:00:34 2026	1776922234	5	4	8	0
Thu Apr 23 11:00:34 2026	1776922234	3	6	9	0
Thu Apr 23 11:00:34 2026	1776922234	0	12	12	11
Thu Apr 23 11:00:34 2026	1776922234	0	12	12	12
Thu Apr 23 11:00:34 2026	1776922234	0	12	12	12
Thu Apr 23 11:00:32 2026	1776922232	0	13	13	12
Thu Apr 23 11:00:34 2026	1776922234	0	13	13	12
Thu Apr 23 11:00:33 2026	1776922233	0	13	13	12
Thu Apr 23 11:00:32 2026	1776922232	0	13	13	13
Thu Apr 23 11:00:34 2026	1776922234	0	14	14	14
Thu Apr 23 11:00:33 2026	1776922233	0	15	15	14
Thu Apr 23 11:00:33 2026	1776922233	0	15	15	14
Thu Apr 23 11:00:33 2026	1776922233	0	15	15	15
Thu Apr 23 11:00:29 2026	1776922229	0	16	16	16
Thu Apr 23 11:00:34 2026	1776922234	0	16	16	16
Thu Apr 23 11:00:32 2026	1776922232	0	81	81	81
Thu Apr 23 11:00:33 2026	1776922233	0	86	86	86
