Percentage served,Time in ms
0,3.715
1,3.751
2,3.756
3,3.801
4,3.921
5,3.984
6,4.199
7,4.220
8,4.230
9,4.319
10,4.361
11,4.375
12,4.429
13,4.486
14,4.595
15,4.617
16,4.623
17,4.691
18,4.706
19,4.757
20,4.817
21,4.818
22,4.830
23,4.858
24,4.907
25,4.962
26,4.970
27,4.988
28,5.012
29,5.052
30,5.072
31,5.089
32,5.093
33,5.214
34,5.300
35,5.308
36,5.429
37,5.771
38,6.191
39,6.229
40,6.479
41,6.764
42,7.270
43,7.299
44,7.370
45,8.191
46,8.239
47,9.210
48,10.788
49,12.046
50,12.455
51,12.470
52,12.879
53,13.630
54,14.345
55,14.556
56,14.655
57,15.155
58,15.239
59,15.362
60,15.441
61,15.733
62,18.408
63,20.489
64,23.449
65,71.700
66,72.957
67,74.109
68,75.648
69,84.019
70,86.508
71,87.104
72,101.033
73,101.122
74,101.736
75,101.923
76,101.988
77,102.092
78,102.207
79,102.264
80,102.335
81,102.534
82,102.723
83,102.737
84,102.743
85,102.971
86,103.090
87,103.214
88,103.750
89,103.847
90,148.185
91,165.728
92,203.901
93,205.055
94,205.657
95,205.778
96,207.274
97,208.995
98,305.327
99,20372.876
100,20372.876
