starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	0	4	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	3	4	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	4	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	3	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	3	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	3	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	3	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	3	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	3	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	2	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	3	5	0
Thu Apr 23 11:06:28 2026	1776922588	3	3	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	3	5	0
Thu Apr 23 11:06:28 2026	1776922588	2	3	6	0
Thu Apr 23 11:06:28 2026	1776922588	4	2	6	0
Thu Apr 23 11:06:28 2026	1776922588	4	2	6	0
Thu Apr 23 11:06:28 2026	1776922588	3	3	6	0
Thu Apr 23 11:06:28 2026	1776922588	4	2	7	0
Thu Apr 23 11:06:28 2026	1776922588	5	2	7	0
Thu Apr 23 11:06:28 2026	1776922588	4	3	7	0
Thu Apr 23 11:06:28 2026	1776922588	2	5	7	0
Thu Apr 23 11:06:28 2026	1776922588	2	6	8	0
Thu Apr 23 11:06:28 2026	1776922588	5	4	8	0
Thu Apr 23 11:06:28 2026	1776922588	5	4	9	0
Thu Apr 23 11:06:28 2026	1776922588	5	6	11	0
Thu Apr 23 11:06:27 2026	1776922587	0	12	12	12
Thu Apr 23 11:06:26 2026	1776922586	0	12	12	12
Thu Apr 23 11:06:28 2026	1776922588	10	3	12	0
Thu Apr 23 11:06:27 2026	1776922587	0	13	13	13
Thu Apr 23 11:06:28 2026	1776922588	0	14	14	13
Thu Apr 23 11:06:26 2026	1776922586	0	14	14	14
Thu Apr 23 11:06:27 2026	1776922587	0	15	15	14
Thu Apr 23 11:06:28 2026	1776922588	0	15	15	14
Thu Apr 23 11:06:26 2026	1776922586	0	15	15	15
Thu Apr 23 11:06:28 2026	1776922588	0	15	15	15
Thu Apr 23 11:06:26 2026	1776922586	0	15	15	15
Thu Apr 23 11:06:27 2026	1776922587	0	15	15	15
Thu Apr 23 11:06:26 2026	1776922586	0	16	16	15
Thu Apr 23 11:06:27 2026	1776922587	0	18	18	18
Thu Apr 23 11:06:27 2026	1776922587	0	20	20	20
Thu Apr 23 11:06:27 2026	1776922587	0	23	23	23
Thu Apr 23 11:06:28 2026	1776922588	0	72	72	71
Thu Apr 23 11:06:27 2026	1776922587	0	73	73	73
Thu Apr 23 11:06:27 2026	1776922587	0	74	74	74
Thu Apr 23 11:06:26 2026	1776922586	0	76	76	75
Thu Apr 23 11:06:27 2026	1776922587	0	84	84	84
Thu Apr 23 11:06:26 2026	1776922586	0	87	87	86
Thu Apr 23 11:06:26 2026	1776922586	0	87	87	87
Thu Apr 23 11:06:05 2026	1776922565	0	101	101	101
Thu Apr 23 11:06:27 2026	1776922587	0	101	101	101
Thu Apr 23 11:06:04 2026	1776922564	0	102	102	101
Thu Apr 23 11:06:27 2026	1776922587	0	102	102	101
Thu Apr 23 11:06:26 2026	1776922586	0	102	102	102
Thu Apr 23 11:06:26 2026	1776922586	0	102	102	102
Thu Apr 23 11:06:27 2026	1776922587	0	102	102	101
Thu Apr 23 11:06:28 2026	1776922588	0	102	102	102
Thu Apr 23 11:06:26 2026	1776922586	0	102	102	102
Thu Apr 23 11:06:26 2026	1776922586	0	103	103	102
Thu Apr 23 11:06:28 2026	1776922588	0	103	103	102
Thu Apr 23 11:06:26 2026	1776922586	0	103	103	102
Thu Apr 23 11:06:28 2026	1776922588	0	103	103	102
Thu Apr 23 11:06:05 2026	1776922565	0	103	103	103
Thu Apr 23 11:06:05 2026	1776922565	0	103	103	103
Thu Apr 23 11:06:27 2026	1776922587	0	103	103	103
Thu Apr 23 11:06:28 2026	1776922588	0	104	104	103
Thu Apr 23 11:06:27 2026	1776922587	0	104	104	104
Thu Apr 23 11:06:27 2026	1776922587	0	148	148	148
Thu Apr 23 11:06:03 2026	1776922563	9	157	166	157
Thu Apr 23 11:06:04 2026	1776922564	0	204	204	203
Thu Apr 23 11:06:04 2026	1776922564	0	205	205	205
Thu Apr 23 11:06:05 2026	1776922565	0	206	206	205
Thu Apr 23 11:06:03 2026	1776922563	0	206	206	205
Thu Apr 23 11:06:04 2026	1776922564	0	207	207	207
Thu Apr 23 11:06:05 2026	1776922565	0	209	209	209
Thu Apr 23 11:06:04 2026	1776922564	0	305	305	305
Thu Apr 23 11:06:05 2026	1776922565	0	20373	20373	20373
