starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 16:43:18 2026	1776942798	2	2	3	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	4	0
Thu Apr 23 16:43:18 2026	1776942798	2	3	4	0
Thu Apr 23 16:43:18 2026	1776942798	0	5	5	0
Thu Apr 23 16:43:18 2026	1776942798	2	2	5	0
Thu Apr 23 16:43:18 2026	1776942798	3	2	5	0
Thu Apr 23 16:43:18 2026	1776942798	3	2	5	0
Thu Apr 23 16:43:18 2026	1776942798	3	3	5	0
Thu Apr 23 16:43:18 2026	1776942798	4	2	5	0
Thu Apr 23 16:43:18 2026	1776942798	3	2	6	0
Thu Apr 23 16:43:18 2026	1776942798	2	4	6	0
Thu Apr 23 16:43:18 2026	1776942798	2	4	6	0
Thu Apr 23 16:43:18 2026	1776942798	3	3	6	0
Thu Apr 23 16:43:18 2026	1776942798	3	3	6	0
Thu Apr 23 16:43:18 2026	1776942798	4	2	6	0
Thu Apr 23 16:43:18 2026	1776942798	4	3	6	0
Thu Apr 23 16:43:18 2026	1776942798	4	2	6	0
Thu Apr 23 16:43:18 2026	1776942798	4	2	6	0
Thu Apr 23 16:43:18 2026	1776942798	4	2	6	0
Thu Apr 23 16:43:18 2026	1776942798	4	3	7	0
Thu Apr 23 16:43:18 2026	1776942798	2	5	7	0
Thu Apr 23 16:43:18 2026	1776942798	5	2	7	0
Thu Apr 23 16:43:18 2026	1776942798	5	2	7	0
Thu Apr 23 16:43:18 2026	1776942798	2	5	7	0
Thu Apr 23 16:43:18 2026	1776942798	5	3	7	0
Thu Apr 23 16:43:18 2026	1776942798	5	3	7	0
Thu Apr 23 16:43:18 2026	1776942798	3	4	8	0
Thu Apr 23 16:43:18 2026	1776942798	2	5	8	0
Thu Apr 23 16:43:18 2026	1776942798	5	3	8	0
Thu Apr 23 16:43:18 2026	1776942798	4	4	8	0
Thu Apr 23 16:43:18 2026	1776942798	3	5	8	0
Thu Apr 23 16:43:18 2026	1776942798	6	2	8	0
Thu Apr 23 16:43:18 2026	1776942798	3	5	8	0
Thu Apr 23 16:43:18 2026	1776942798	5	3	8	0
Thu Apr 23 16:43:18 2026	1776942798	5	4	9	0
Thu Apr 23 16:43:18 2026	1776942798	4	4	9	0
Thu Apr 23 16:43:18 2026	1776942798	4	5	10	0
Thu Apr 23 16:43:18 2026	1776942798	5	5	10	0
Thu Apr 23 16:43:18 2026	1776942798	6	5	10	0
Thu Apr 23 16:43:18 2026	1776942798	6	5	11	0
Thu Apr 23 16:43:18 2026	1776942798	5	6	11	0
Thu Apr 23 16:43:08 2026	1776942788	0	12	12	0
Thu Apr 23 16:43:07 2026	1776942787	0	20	20	0
Thu Apr 23 16:43:06 2026	1776942786	0	40	40	0
Thu Apr 23 16:43:04 2026	1776942784	0	60	60	60
Thu Apr 23 16:43:05 2026	1776942785	0	84	84	0
Thu Apr 23 16:43:16 2026	1776942796	0	93	93	93
Thu Apr 23 16:43:04 2026	1776942784	0	93	93	93
Thu Apr 23 16:43:09 2026	1776942789	0	102	102	102
Thu Apr 23 16:43:09 2026	1776942789	0	102	102	0
Thu Apr 23 16:43:10 2026	1776942790	4	99	103	99
Thu Apr 23 16:43:10 2026	1776942790	0	204	204	204
Thu Apr 23 16:43:11 2026	1776942791	0	204	204	204
Thu Apr 23 16:43:15 2026	1776942795	0	205	205	204
Thu Apr 23 16:43:14 2026	1776942794	0	205	205	205
Thu Apr 23 16:43:17 2026	1776942797	0	205	205	205
Thu Apr 23 16:43:09 2026	1776942789	0	205	205	205
Thu Apr 23 16:43:18 2026	1776942798	0	205	205	205
Thu Apr 23 16:43:15 2026	1776942795	0	205	205	205
Thu Apr 23 16:43:12 2026	1776942792	0	206	206	205
Thu Apr 23 16:43:17 2026	1776942797	0	214	214	214
Thu Apr 23 16:43:11 2026	1776942791	0	215	215	215
Thu Apr 23 16:43:04 2026	1776942784	0	250	250	250
Thu Apr 23 16:43:04 2026	1776942784	0	284	284	284
Thu Apr 23 16:43:11 2026	1776942791	0	298	298	297
Thu Apr 23 16:43:14 2026	1776942794	0	307	307	307
Thu Apr 23 16:43:17 2026	1776942797	0	307	307	307
Thu Apr 23 16:43:14 2026	1776942794	0	307	307	307
Thu Apr 23 16:43:17 2026	1776942797	0	307	307	307
Thu Apr 23 16:43:13 2026	1776942793	0	307	307	307
Thu Apr 23 16:43:15 2026	1776942795	0	307	307	307
Thu Apr 23 16:43:11 2026	1776942791	0	307	307	307
Thu Apr 23 16:43:13 2026	1776942793	0	308	308	307
Thu Apr 23 16:43:10 2026	1776942790	0	308	308	308
Thu Apr 23 16:43:08 2026	1776942788	2	308	310	307
Thu Apr 23 16:43:08 2026	1776942788	0	399	399	399
Thu Apr 23 16:43:13 2026	1776942793	0	408	408	408
Thu Apr 23 16:43:16 2026	1776942796	0	409	409	409
Thu Apr 23 16:43:10 2026	1776942790	0	409	409	409
Thu Apr 23 16:43:15 2026	1776942795	0	410	410	410
Thu Apr 23 16:43:12 2026	1776942792	0	410	410	409
Thu Apr 23 16:43:16 2026	1776942796	0	410	410	410
Thu Apr 23 16:43:03 2026	1776942783	0	417	417	417
Thu Apr 23 16:43:09 2026	1776942789	0	431	431	431
Thu Apr 23 16:43:12 2026	1776942792	0	512	512	511
Thu Apr 23 16:43:03 2026	1776942783	129	402	531	402
Thu Apr 23 16:43:03 2026	1776942783	0	614	614	614
Thu Apr 23 16:43:06 2026	1776942786	3	728	732	728
Thu Apr 23 16:43:05 2026	1776942785	7	899	905	899
Thu Apr 23 16:43:07 2026	1776942787	3	1392	1396	1392
