Percentage served,Time in ms
0,3.358
1,3.566
2,3.762
3,3.779
4,3.883
5,3.923
6,3.933
7,3.942
8,3.985
9,4.046
10,4.103
11,4.105
12,4.119
13,4.151
14,4.203
15,4.224
16,4.253
17,4.316
18,4.345
19,4.412
20,4.423
21,4.466
22,4.494
23,4.497
24,4.505
25,4.526
26,4.542
27,4.558
28,4.561
29,4.612
30,4.673
31,4.734
32,4.745
33,4.773
34,4.777
35,4.781
36,4.822
37,4.858
38,4.903
39,5.047
40,5.101
41,5.145
42,5.156
43,5.205
44,5.497
45,5.536
46,5.642
47,5.652
48,5.754
49,6.116
50,6.741
51,17.496
52,35.653
53,36.109
54,102.050
55,102.631
56,106.888
57,107.073
58,143.822
59,143.856
60,167.502
61,169.888
62,200.408
63,203.907
64,204.047
65,204.357
66,204.424
67,204.526
68,204.609
69,204.777
70,204.871
71,204.880
72,205.085
73,205.256
74,206.245
75,213.814
76,238.590
77,265.326
78,306.745
79,306.981
80,307.245
81,307.297
82,308.251
83,341.356
84,345.725
85,357.980
86,375.334
87,381.869
88,409.826
89,409.829
90,410.103
91,442.466
92,492.667
93,507.656
94,692.169
95,716.881
96,720.856
97,911.881
98,2985.533
99,4142.811
100,4142.811
