Percentage served,Time in ms
0,3.767
1,3.848
2,3.872
3,3.948
4,3.954
5,3.973
6,3.989
7,4.013
8,4.058
9,4.180
10,4.206
11,4.390
12,4.531
13,7.440
14,8.213
15,8.220
16,8.495
17,8.766
18,8.776
19,9.068
20,9.200
21,9.324
22,10.193
23,10.520
24,10.554
25,10.626
26,10.728
27,10.770
28,10.839
29,11.044
30,11.075
31,11.192
32,11.280
33,11.659
34,11.667
35,11.835
36,12.063
37,12.169
38,12.484
39,12.631
40,12.844
41,13.984
42,14.538
43,14.580
44,16.369
45,20.785
46,39.681
47,45.450
48,71.718
49,101.046
50,102.130
51,102.756
52,117.906
53,121.389
54,130.334
55,150.505
56,174.813
57,187.446
58,197.692
59,201.772
60,204.454
61,204.497
62,204.696
63,205.265
64,233.530
65,236.778
66,240.774
67,270.687
68,305.063
69,305.761
70,306.368
71,307.063
72,307.198
73,307.299
74,307.452
75,307.524
76,336.018
77,378.545
78,397.326
79,409.331
80,409.507
81,409.920
82,415.604
83,458.368
84,499.306
85,511.421
86,511.657
87,511.867
88,511.939
89,596.406
90,661.729
91,688.751
92,819.796
93,925.441
94,1010.153
95,1136.735
96,2770.991
97,4614.765
98,20064.124
99,42410.348
100,42410.348
