starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	2	2	4	0
Thu Apr 23 16:50:30 2026	1776943230	3	2	5	0
Thu Apr 23 16:49:14 2026	1776943154	0	7	7	0
Thu Apr 23 16:50:30 2026	1776943230	5	3	8	0
Thu Apr 23 16:50:30 2026	1776943230	4	4	8	0
Thu Apr 23 16:50:30 2026	1776943230	4	4	8	0
Thu Apr 23 16:50:30 2026	1776943230	5	4	9	0
Thu Apr 23 16:50:30 2026	1776943230	4	5	9	0
Thu Apr 23 16:50:30 2026	1776943230	5	4	9	0
Thu Apr 23 16:50:30 2026	1776943230	5	4	9	0
Thu Apr 23 16:50:30 2026	1776943230	5	4	9	0
Thu Apr 23 16:50:30 2026	1776943230	5	5	10	0
Thu Apr 23 16:50:30 2026	1776943230	5	5	11	0
Thu Apr 23 16:50:30 2026	1776943230	7	4	11	0
Thu Apr 23 16:50:30 2026	1776943230	7	4	11	0
Thu Apr 23 16:50:30 2026	1776943230	6	5	11	0
Thu Apr 23 16:50:30 2026	1776943230	4	7	11	0
Thu Apr 23 16:50:30 2026	1776943230	4	7	11	0
Thu Apr 23 16:50:30 2026	1776943230	5	6	11	0
Thu Apr 23 16:50:30 2026	1776943230	6	5	11	0
Thu Apr 23 16:50:30 2026	1776943230	5	6	11	0
Thu Apr 23 16:50:30 2026	1776943230	9	2	11	0
Thu Apr 23 16:50:30 2026	1776943230	7	5	12	0
Thu Apr 23 16:50:30 2026	1776943230	6	6	12	0
Thu Apr 23 16:50:30 2026	1776943230	6	6	12	0
Thu Apr 23 16:50:30 2026	1776943230	4	8	12	0
Thu Apr 23 16:50:30 2026	1776943230	7	5	12	0
Thu Apr 23 16:49:15 2026	1776943155	0	12	12	0
Thu Apr 23 16:50:30 2026	1776943230	6	7	13	0
Thu Apr 23 16:50:30 2026	1776943230	8	5	13	0
Thu Apr 23 16:50:30 2026	1776943230	6	8	14	0
Thu Apr 23 16:50:30 2026	1776943230	9	6	15	0
Thu Apr 23 16:49:10 2026	1776943150	0	15	15	0
Thu Apr 23 16:50:25 2026	1776943225	0	16	16	0
Thu Apr 23 16:50:30 2026	1776943230	17	4	21	0
Thu Apr 23 16:49:10 2026	1776943150	0	40	40	39
Thu Apr 23 16:49:09 2026	1776943149	2	43	45	43
Thu Apr 23 16:49:11 2026	1776943151	0	72	72	0
Thu Apr 23 16:49:09 2026	1776943149	3	98	101	98
Thu Apr 23 16:50:22 2026	1776943222	0	102	102	0
Thu Apr 23 16:50:27 2026	1776943227	0	103	103	0
Thu Apr 23 16:49:10 2026	1776943150	0	118	118	0
