Percentage served,Time in ms
0,12.167
1,13.538
2,18.797
3,91.796
4,102.343
5,102.442
6,103.470
7,108.508
8,116.822
9,137.476
10,143.516
11,177.642
12,179.169
13,179.755
14,180.080
15,194.171
16,195.155
17,204.236
18,204.290
19,204.405
20,204.509
21,204.594
22,204.623
23,204.678
24,204.779
25,204.786
26,204.829
27,204.874
28,204.901
29,204.918
30,205.048
31,205.062
32,205.095
33,205.135
34,205.200
35,205.315
36,205.344
37,205.348
38,205.365
39,205.373
40,205.378
41,205.428
42,205.479
43,205.489
44,205.911
45,207.224
46,215.244
47,215.245
48,216.279
49,216.655
50,217.143
51,217.655
52,220.371
53,226.239
54,227.661
55,283.261
56,292.969
57,295.188
58,303.037
59,304.514
60,306.278
61,306.521
62,306.603
63,306.872
64,306.886
65,307.009
66,307.016
67,307.062
68,307.065
69,307.092
70,307.114
71,307.205
72,307.324
73,307.341
74,307.478
75,307.504
76,307.514
77,307.555
78,314.009
79,409.025
80,409.113
81,409.259
82,409.291
83,409.386
84,409.444
85,409.447
86,409.579
87,409.623
88,409.636
89,409.640
90,409.728
91,448.309
92,482.762
93,489.512
94,511.651
95,512.001
96,1229.539
97,20716.605
98,27135.088
99,97853.786
100,97853.786
