starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 17:21:50 2026	1776945110	0	12	12	0
Thu Apr 23 17:21:34 2026	1776945094	0	14	14	0
Thu Apr 23 17:21:33 2026	1776945093	0	19	19	0
Thu Apr 23 17:21:45 2026	1776945105	0	92	92	0
Thu Apr 23 17:21:45 2026	1776945105	0	102	102	102
Thu Apr 23 17:21:49 2026	1776945109	0	102	102	102
Thu Apr 23 17:21:34 2026	1776945094	0	103	103	103
Thu Apr 23 17:21:34 2026	1776945094	0	109	109	108
Thu Apr 23 17:21:47 2026	1776945107	0	117	117	117
Thu Apr 23 17:21:35 2026	1776945095	0	137	137	137
Thu Apr 23 17:21:34 2026	1776945094	6	138	144	138
Thu Apr 23 17:21:32 2026	1776945092	0	178	178	177
Thu Apr 23 17:21:50 2026	1776945110	6	173	179	173
Thu Apr 23 17:21:35 2026	1776945095	0	180	180	180
Thu Apr 23 17:21:33 2026	1776945093	0	180	180	180
Thu Apr 23 17:21:44 2026	1776945104	0	194	194	194
Thu Apr 23 17:21:34 2026	1776945094	6	189	195	189
Thu Apr 23 17:21:51 2026	1776945111	0	204	204	204
Thu Apr 23 17:21:52 2026	1776945112	0	204	204	204
Thu Apr 23 17:21:46 2026	1776945106	0	204	204	204
Thu Apr 23 17:21:47 2026	1776945107	0	205	205	204
Thu Apr 23 17:19:04 2026	1776944944	0	205	205	204
Thu Apr 23 17:21:51 2026	1776945111	0	205	205	205
Thu Apr 23 17:21:38 2026	1776945098	0	205	205	205
Thu Apr 23 17:21:45 2026	1776945105	0	205	205	205
Thu Apr 23 17:21:38 2026	1776945098	0	205	205	205
Thu Apr 23 17:19:04 2026	1776944944	0	205	205	205
Thu Apr 23 17:21:53 2026	1776945113	0	205	205	204
Thu Apr 23 17:21:44 2026	1776945104	0	205	205	205
Thu Apr 23 17:21:52 2026	1776945112	0	205	205	205
Thu Apr 23 17:21:43 2026	1776945103	0	205	205	205
Thu Apr 23 17:21:41 2026	1776945101	0	205	205	205
Thu Apr 23 17:21:42 2026	1776945102	0	205	205	205
Thu Apr 23 17:21:52 2026	1776945112	0	205	205	205
Thu Apr 23 17:21:48 2026	1776945108	0	205	205	205
Thu Apr 23 17:19:05 2026	1776944945	0	205	205	205
Thu Apr 23 17:21:50 2026	1776945110	0	205	205	205
Thu Apr 23 17:21:42 2026	1776945102	0	205	205	205
Thu Apr 23 17:21:48 2026	1776945108	0	205	205	205
Thu Apr 23 17:21:51 2026	1776945111	0	205	205	205
Thu Apr 23 17:21:37 2026	1776945097	0	205	205	205
Thu Apr 23 17:21:41 2026	1776945101	0	205	205	205
Thu Apr 23 17:21:51 2026	1776945111	0	205	205	205
Thu Apr 23 17:21:46 2026	1776945106	0	205	205	205
Thu Apr 23 17:19:04 2026	1776944944	0	206	206	206
Thu Apr 23 17:21:37 2026	1776945097	0	207	207	207
Thu Apr 23 17:21:44 2026	1776945104	0	215	215	215
Thu Apr 23 17:21:45 2026	1776945105	0	215	215	215
Thu Apr 23 17:21:52 2026	1776945112	0	216	216	216
Thu Apr 23 17:21:34 2026	1776945094	0	217	217	217
Thu Apr 23 17:21:33 2026	1776945093	0	217	217	217
Thu Apr 23 17:21:50 2026	1776945110	0	218	218	218
Thu Apr 23 17:21:35 2026	1776945095	0	220	220	220
Thu Apr 23 17:21:34 2026	1776945094	0	226	226	226
Thu Apr 23 17:21:42 2026	1776945102	0	228	228	228
Thu Apr 23 17:21:42 2026	1776945102	0	283	283	283
Thu Apr 23 17:21:47 2026	1776945107	0	293	293	293
Thu Apr 23 17:21:53 2026	1776945113	0	295	295	295
Thu Apr 23 17:21:32 2026	1776945092	0	303	303	303
Thu Apr 23 17:21:37 2026	1776945097	0	305	305	304
Thu Apr 23 17:21:40 2026	1776945100	0	306	306	306
