Percentage served,Time in ms
0,6.790
1,16.593
2,45.504
3,83.482
4,97.885
5,102.674
6,102.741
7,102.922
8,129.328
9,149.885
10,177.637
11,184.016
12,191.413
13,193.966
14,196.069
15,203.821
16,203.954
17,203.987
18,204.199
19,204.327
20,204.438
21,204.653
22,204.690
23,204.696
24,204.745
25,204.792
26,204.840
27,204.844
28,204.874
29,204.876
30,204.930
31,204.944
32,204.954
33,204.970
34,204.971
35,205.027
36,205.032
37,205.070
38,205.090
39,205.194
40,205.294
41,205.376
42,205.449
43,205.589
44,205.829
45,206.558
46,206.817
47,207.831
48,212.944
49,215.077
50,217.403
51,221.721
52,224.281
53,225.687
54,280.031
55,288.316
56,294.526
57,296.757
58,305.793
59,306.272
60,306.373
61,306.550
62,306.722
63,306.733
64,306.832
65,306.937
66,306.968
67,306.985
68,307.032
69,307.052
70,307.113
71,307.121
72,307.130
73,307.145
74,307.149
75,307.180
76,307.206
77,307.282
78,307.514
79,307.754
80,307.977
81,308.008
82,320.355
83,336.316
84,387.615
85,388.059
86,389.967
87,409.204
88,409.487
89,409.644
90,410.041
91,414.214
92,499.364
93,499.477
94,512.843
95,818.173
96,9222.050
97,15937.749
98,18023.975
99,23268.855
100,23268.855
