starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 17:29:21 2026	1776945561	0	7	7	0
Thu Apr 23 17:29:27 2026	1776945567	0	17	17	0
Thu Apr 23 17:29:12 2026	1776945552	0	46	46	0
Thu Apr 23 17:29:33 2026	1776945573	0	83	83	0
Thu Apr 23 17:29:25 2026	1776945565	0	98	98	98
Thu Apr 23 17:28:04 2026	1776945484	0	103	103	103
Thu Apr 23 17:29:29 2026	1776945569	0	103	103	103
Thu Apr 23 17:29:19 2026	1776945559	0	103	103	103
Thu Apr 23 17:28:05 2026	1776945485	0	129	129	129
Thu Apr 23 17:29:21 2026	1776945561	0	150	150	150
Thu Apr 23 17:29:20 2026	1776945560	0	178	178	177
Thu Apr 23 17:29:24 2026	1776945564	0	184	184	184
Thu Apr 23 17:29:16 2026	1776945556	0	191	191	191
Thu Apr 23 17:29:18 2026	1776945558	0	194	194	194
Thu Apr 23 17:29:20 2026	1776945560	0	196	196	196
Thu Apr 23 17:28:04 2026	1776945484	0	204	204	204
Thu Apr 23 17:29:30 2026	1776945570	0	204	204	204
Thu Apr 23 17:29:18 2026	1776945558	0	204	204	204
Thu Apr 23 17:29:32 2026	1776945572	0	204	204	204
Thu Apr 23 17:29:30 2026	1776945570	0	204	204	204
Thu Apr 23 17:28:04 2026	1776945484	0	204	204	204
Thu Apr 23 17:29:26 2026	1776945566	0	205	205	204
Thu Apr 23 17:29:29 2026	1776945569	0	205	205	205
Thu Apr 23 17:29:31 2026	1776945571	0	205	205	205
Thu Apr 23 17:29:15 2026	1776945555	0	205	205	204
Thu Apr 23 17:29:17 2026	1776945557	0	205	205	205
Thu Apr 23 17:29:28 2026	1776945568	0	205	205	204
Thu Apr 23 17:28:03 2026	1776945483	0	205	205	205
Thu Apr 23 17:29:25 2026	1776945565	0	205	205	205
Thu Apr 23 17:29:19 2026	1776945559	0	205	205	205
Thu Apr 23 17:29:30 2026	1776945570	0	205	205	205
Thu Apr 23 17:29:33 2026	1776945573	0	205	205	205
Thu Apr 23 17:29:16 2026	1776945556	0	205	205	205
Thu Apr 23 17:29:25 2026	1776945565	0	205	205	205
Thu Apr 23 17:29:29 2026	1776945569	0	205	205	205
Thu Apr 23 17:28:04 2026	1776945484	0	205	205	205
Thu Apr 23 17:29:26 2026	1776945566	0	205	205	205
Thu Apr 23 17:29:21 2026	1776945561	0	205	205	205
Thu Apr 23 17:29:23 2026	1776945563	0	205	205	205
Thu Apr 23 17:29:32 2026	1776945572	0	205	205	205
Thu Apr 23 17:29:29 2026	1776945569	0	205	205	205
Thu Apr 23 17:28:03 2026	1776945483	0	205	205	205
Thu Apr 23 17:29:30 2026	1776945570	0	205	205	205
Thu Apr 23 17:28:04 2026	1776945484	0	206	206	205
Thu Apr 23 17:29:28 2026	1776945568	0	206	206	206
Thu Apr 23 17:29:15 2026	1776945555	0	207	207	206
Thu Apr 23 17:29:27 2026	1776945567	0	207	207	207
Thu Apr 23 17:29:32 2026	1776945572	0	208	208	207
Thu Apr 23 17:29:20 2026	1776945560	0	213	213	213
Thu Apr 23 17:29:18 2026	1776945558	0	215	215	215
Thu Apr 23 17:29:22 2026	1776945562	0	217	217	217
Thu Apr 23 17:29:32 2026	1776945572	0	222	222	221
Thu Apr 23 17:29:33 2026	1776945573	0	224	224	224
Thu Apr 23 17:29:24 2026	1776945564	0	226	226	226
Thu Apr 23 17:29:21 2026	1776945561	6	274	280	274
Thu Apr 23 17:29:27 2026	1776945567	6	282	288	282
Thu Apr 23 17:29:22 2026	1776945562	0	295	295	294
Thu Apr 23 17:28:03 2026	1776945483	0	297	297	297
Thu Apr 23 17:29:15 2026	1776945555	0	306	306	305
Thu Apr 23 17:29:28 2026	1776945568	0	306	306	306
Thu Apr 23 17:29:33 2026	1776945573	0	306	306	306
Thu Apr 23 17:29:20 2026	1776945560	0	307	307	306
