starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 15:31:36 2026	1776852096	0	9	9	9
Wed Apr 22 15:31:49 2026	1776852109	0	18	18	18
Wed Apr 22 15:31:36 2026	1776852096	0	94	94	94
Wed Apr 22 15:31:36 2026	1776852096	0	102	102	101
Wed Apr 22 15:31:46 2026	1776852106	0	102	102	101
Wed Apr 22 15:31:39 2026	1776852099	0	102	102	102
Wed Apr 22 15:31:46 2026	1776852106	0	102	102	101
Wed Apr 22 15:31:37 2026	1776852097	0	102	102	102
Wed Apr 22 15:31:36 2026	1776852096	0	102	102	102
Wed Apr 22 15:31:37 2026	1776852097	0	102	102	102
Wed Apr 22 15:31:36 2026	1776852096	0	102	102	102
Wed Apr 22 15:31:49 2026	1776852109	0	103	103	103
Wed Apr 22 15:31:40 2026	1776852100	0	105	105	105
Wed Apr 22 15:31:37 2026	1776852097	0	106	106	106
Wed Apr 22 15:31:48 2026	1776852108	0	181	181	181
Wed Apr 22 15:31:37 2026	1776852097	0	200	200	200
Wed Apr 22 15:31:37 2026	1776852097	0	202	202	201
Wed Apr 22 15:31:40 2026	1776852100	0	202	202	202
Wed Apr 22 15:31:47 2026	1776852107	0	203	203	203
Wed Apr 22 15:31:48 2026	1776852108	0	204	204	203
Wed Apr 22 15:31:47 2026	1776852107	0	204	204	204
Wed Apr 22 15:31:46 2026	1776852106	0	204	204	203
Wed Apr 22 15:31:42 2026	1776852102	0	204	204	204
Wed Apr 22 15:31:48 2026	1776852108	0	204	204	204
Wed Apr 22 15:31:47 2026	1776852107	0	205	205	204
Wed Apr 22 15:31:42 2026	1776852102	0	205	205	205
Wed Apr 22 15:31:49 2026	1776852109	0	205	205	204
Wed Apr 22 15:31:49 2026	1776852109	0	205	205	203
Wed Apr 22 15:31:44 2026	1776852104	0	205	205	205
Wed Apr 22 15:31:42 2026	1776852102	0	205	205	205
Wed Apr 22 15:31:43 2026	1776852103	0	205	205	205
Wed Apr 22 15:31:46 2026	1776852106	0	205	205	204
Wed Apr 22 15:31:42 2026	1776852102	0	205	205	205
Wed Apr 22 15:31:41 2026	1776852101	0	205	205	205
Wed Apr 22 15:31:44 2026	1776852104	0	205	205	205
Wed Apr 22 15:31:48 2026	1776852108	0	205	205	205
Wed Apr 22 15:31:45 2026	1776852105	0	205	205	205
Wed Apr 22 15:31:39 2026	1776852099	0	205	205	205
Wed Apr 22 15:31:40 2026	1776852100	0	206	206	205
Wed Apr 22 15:31:36 2026	1776852096	0	206	206	206
Wed Apr 22 15:31:46 2026	1776852106	0	206	206	206
Wed Apr 22 15:31:48 2026	1776852108	0	206	206	206
Wed Apr 22 15:31:46 2026	1776852106	0	206	206	206
Wed Apr 22 15:31:40 2026	1776852100	0	207	207	207
Wed Apr 22 15:31:47 2026	1776852107	0	229	229	228
Wed Apr 22 15:31:40 2026	1776852100	0	306	306	305
