Percentage served,Time in ms
0,14.031
1,62.482
2,66.629
3,75.603
4,79.860
5,85.912
6,85.916
7,86.766
8,90.618
9,90.700
10,92.384
11,94.473
12,97.237
13,99.280
14,101.524
15,102.390
16,102.586
17,111.526
18,111.534
19,112.713
20,117.933
21,120.738
22,123.420
23,125.011
24,140.521
25,142.034
26,142.583
27,154.660
28,166.548
29,189.954
30,191.840
31,203.940
32,204.267
33,204.380
34,204.543
35,204.552
36,204.674
37,204.718
38,204.735
39,204.797
40,204.834
41,204.898
42,204.941
43,204.956
44,204.979
45,204.980
46,205.065
47,205.088
48,205.225
49,205.303
50,205.471
51,205.610
52,205.734
53,206.291
54,229.495
55,236.465
56,241.882
57,306.548
58,306.593
59,306.616
60,306.647
61,306.709
62,306.759
63,306.772
64,306.775
65,306.975
66,307.520
67,307.636
68,307.792
69,307.803
70,408.890
71,409.854
72,410.114
73,433.257
74,488.799
75,511.047
76,512.232
77,614.078
78,614.172
79,614.194
80,614.597
81,614.719
82,614.726
83,614.770
84,614.868
85,614.869
86,615.141
87,715.823
88,818.253
89,819.207
90,1331.210
91,1535.608
92,1844.144
93,2765.200
94,6041.277
95,43930.163
96,47616.288
97,83353.727
98,120116.710
99,120149.595
100,120149.595
