Percentage served,Time in ms
0,102.138
1,104.254
2,127.767
3,179.154
4,190.902
5,202.236
6,203.021
7,203.697
8,204.001
9,204.022
10,204.054
11,204.089
12,204.195
13,204.204
14,204.363
15,204.457
16,204.460
17,204.510
18,204.516
19,204.528
20,204.620
21,204.652
22,204.661
23,204.674
24,204.702
25,204.744
26,204.785
27,204.788
28,204.815
29,204.842
30,204.845
31,204.856
32,204.860
33,204.863
34,204.876
35,204.906
36,204.911
37,204.922
38,204.933
39,204.942
40,204.943
41,204.960
42,204.987
43,205.073
44,205.139
45,205.146
46,205.210
47,205.228
48,205.248
49,205.417
50,205.447
51,205.453
52,205.528
53,205.671
54,206.352
55,211.779
56,218.482
57,251.735
58,306.134
59,306.381
60,306.544
61,306.703
62,306.764
63,306.890
64,306.927
65,307.044
66,307.060
67,307.189
68,307.247
69,307.255
70,307.430
71,307.502
72,307.643
73,307.660
74,307.721
75,307.821
76,308.125
77,308.424
78,309.619
79,318.820
80,365.890
81,403.194
82,406.452
83,500.621
84,500.989
85,510.260
86,512.191
87,513.199
88,555.283
89,614.443
90,614.599
91,614.856
92,614.936
93,616.291
94,616.890
95,1332.003
96,4709.145
97,5425.682
98,25019.195
99,119319.586
100,119319.586
