starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 16:23:06 2026	1776855186	0	102	102	102
Wed Apr 22 16:23:14 2026	1776855194	0	104	104	104
Wed Apr 22 16:23:06 2026	1776855186	0	128	128	128
Wed Apr 22 16:23:06 2026	1776855186	0	179	179	179
Wed Apr 22 16:23:18 2026	1776855198	0	191	191	191
Wed Apr 22 16:25:47 2026	1776855347	0	202	202	202
Wed Apr 22 16:23:15 2026	1776855195	0	203	203	203
Wed Apr 22 16:23:20 2026	1776855200	0	204	204	204
Wed Apr 22 16:23:14 2026	1776855194	0	204	204	204
Wed Apr 22 16:23:11 2026	1776855191	0	204	204	204
Wed Apr 22 16:23:07 2026	1776855187	0	204	204	204
Wed Apr 22 16:23:17 2026	1776855197	0	204	204	204
Wed Apr 22 16:23:13 2026	1776855193	0	204	204	204
Wed Apr 22 16:23:13 2026	1776855193	0	204	204	204
Wed Apr 22 16:23:10 2026	1776855190	0	204	204	204
Wed Apr 22 16:23:15 2026	1776855195	0	204	204	204
Wed Apr 22 16:23:04 2026	1776855184	0	204	204	204
Wed Apr 22 16:23:07 2026	1776855187	0	205	205	204
Wed Apr 22 16:23:16 2026	1776855196	0	205	205	204
Wed Apr 22 16:23:10 2026	1776855190	0	205	205	204
Wed Apr 22 16:23:16 2026	1776855196	0	205	205	204
Wed Apr 22 16:23:08 2026	1776855188	0	205	205	204
Wed Apr 22 16:25:56 2026	1776855356	0	205	205	204
Wed Apr 22 16:23:10 2026	1776855190	0	205	205	204
Wed Apr 22 16:23:07 2026	1776855187	0	205	205	205
Wed Apr 22 16:26:05 2026	1776855365	0	205	205	204
Wed Apr 22 16:23:04 2026	1776855184	0	205	205	204
Wed Apr 22 16:23:18 2026	1776855198	0	205	205	204
Wed Apr 22 16:23:15 2026	1776855195	0	205	205	204
Wed Apr 22 16:23:08 2026	1776855188	0	205	205	205
Wed Apr 22 16:23:04 2026	1776855184	0	205	205	203
Wed Apr 22 16:23:13 2026	1776855193	0	205	205	204
Wed Apr 22 16:23:18 2026	1776855198	0	205	205	204
Wed Apr 22 16:23:08 2026	1776855188	0	205	205	204
Wed Apr 22 16:23:16 2026	1776855196	0	205	205	205
Wed Apr 22 16:23:11 2026	1776855191	0	205	205	204
Wed Apr 22 16:23:12 2026	1776855192	0	205	205	205
Wed Apr 22 16:23:14 2026	1776855194	0	205	205	205
Wed Apr 22 16:23:15 2026	1776855195	0	205	205	205
Wed Apr 22 16:23:20 2026	1776855200	0	205	205	205
Wed Apr 22 16:23:07 2026	1776855187	0	205	205	205
Wed Apr 22 16:26:03 2026	1776855363	0	205	205	205
Wed Apr 22 16:23:12 2026	1776855192	0	205	205	205
Wed Apr 22 16:23:14 2026	1776855194	0	205	205	205
Wed Apr 22 16:23:12 2026	1776855192	0	205	205	205
Wed Apr 22 16:23:15 2026	1776855195	0	205	205	205
Wed Apr 22 16:23:10 2026	1776855190	0	205	205	205
Wed Apr 22 16:23:08 2026	1776855188	0	205	205	205
Wed Apr 22 16:23:03 2026	1776855183	0	205	205	205
Wed Apr 22 16:23:17 2026	1776855197	0	205	205	205
Wed Apr 22 16:23:03 2026	1776855183	0	205	205	204
Wed Apr 22 16:23:13 2026	1776855193	0	205	205	205
Wed Apr 22 16:23:07 2026	1776855187	0	206	206	205
Wed Apr 22 16:23:10 2026	1776855190	0	206	206	205
Wed Apr 22 16:23:20 2026	1776855200	0	206	206	206
Wed Apr 22 16:23:06 2026	1776855186	0	212	212	211
Wed Apr 22 16:23:18 2026	1776855198	0	218	218	218
Wed Apr 22 16:23:20 2026	1776855200	0	252	252	251
Wed Apr 22 16:23:19 2026	1776855199	0	306	306	305
Wed Apr 22 16:26:02 2026	1776855362	0	306	306	306
Wed Apr 22 16:23:05 2026	1776855185	0	307	307	306
Wed Apr 22 16:23:20 2026	1776855200	0	307	307	307
Wed Apr 22 16:23:09 2026	1776855189	0	307	307	306
Wed Apr 22 16:23:16 2026	1776855196	0	307	307	306
Wed Apr 22 16:23:09 2026	1776855189	0	307	307	307
Wed Apr 22 16:23:12 2026	1776855192	0	307	307	307
Wed Apr 22 16:23:05 2026	1776855185	0	307	307	307
Wed Apr 22 16:23:17 2026	1776855197	0	307	307	307
Wed Apr 22 16:25:55 2026	1776855355	0	307	307	307
Wed Apr 22 16:23:19 2026	1776855199	0	307	307	307
Wed Apr 22 16:23:04 2026	1776855184	0	307	307	307
Wed Apr 22 16:23:08 2026	1776855188	0	308	308	307
Wed Apr 22 16:23:19 2026	1776855199	0	308	308	307
Wed Apr 22 16:23:14 2026	1776855194	0	308	308	307
Wed Apr 22 16:23:05 2026	1776855185	0	308	308	308
Wed Apr 22 16:23:16 2026	1776855196	0	308	308	307
Wed Apr 22 16:23:09 2026	1776855189	0	308	308	308
Wed Apr 22 16:23:18 2026	1776855198	0	308	308	308
Wed Apr 22 16:23:11 2026	1776855191	0	310	310	309
Wed Apr 22 16:25:56 2026	1776855356	0	319	319	319
Wed Apr 22 16:25:47 2026	1776855347	0	366	366	366
Wed Apr 22 16:23:06 2026	1776855186	0	403	403	403
Wed Apr 22 16:23:11 2026	1776855191	0	406	406	406
Wed Apr 22 16:23:03 2026	1776855183	194	307	501	307
Wed Apr 22 16:25:56 2026	1776855356	0	501	501	501
Wed Apr 22 16:26:04 2026	1776855364	0	510	510	509
Wed Apr 22 16:25:45 2026	1776855345	0	512	512	512
Wed Apr 22 16:26:02 2026	1776855362	0	513	513	513
Wed Apr 22 16:25:46 2026	1776855346	0	555	555	555
Wed Apr 22 16:26:03 2026	1776855363	0	614	614	614
Wed Apr 22 16:25:47 2026	1776855347	0	615	615	614
Wed Apr 22 16:25:48 2026	1776855348	0	615	615	615
Wed Apr 22 16:25:57 2026	1776855357	0	615	615	615
Wed Apr 22 16:26:04 2026	1776855364	0	616	616	616
Wed Apr 22 16:25:46 2026	1776855346	0	617	617	617
Wed Apr 22 16:25:49 2026	1776855349	0	1332	1332	1332
Wed Apr 22 16:25:57 2026	1776855357	0	4709	4709	4709
Wed Apr 22 16:25:50 2026	1776855350	0	5426	5426	5425
Wed Apr 22 16:23:21 2026	1776855201	0	25019	25019	25019
Wed Apr 22 16:23:46 2026	1776855226	0	119320	119320	119319
